Text,Comment,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:14.C3,"Third interior scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.20670597,0.90096819,0.11827561,0.04481328",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C4,"Fourth interior scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.07442889,0.67385892,0.08548268,0.03651452",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C5,"First interior scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.86956522,0.28879668,0.04089904,0.01991701",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAint.hmt:14.C6,"Second interior scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.84248342,0.65311203,0.10169492,0.03485477",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAint.hmt:14.C7,"First interior scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0186@0.10077377,0.20553250,0.06705969,0.04730290",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C8,"Second interior scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0186@0.09119381,0.33167358,0.07148121,0.04730290",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C9,"Third interior scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0186@0.10519528,0.44398340,0.05821665,0.03236515",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C10,"Fourth interior scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0186@0.09856301,0.47441217,0.05084746,0.03430152",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C11,"Fifth interior scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0186@0.09229919,0.59806362,0.06963891,0.04757953",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAint.hmt:14.H1,Interior,"urn:cite:hmt:vaimg.VA185VN_0687@0.86809138,0.55698479,0.07184967,0.02365145",urn:cite:hmt:msA.185v
