"urn:cite:hmt:scholia.54","urn:cts:greekLit:tlg5026.msA.hmt:8.102","Main scholion 52","urn:cite:hmt:chsimg.VA103RN-0104@0.6174,0.4823,0.2146,0.0702","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.55","urn:cts:greekLit:tlg5026.msA.hmt:8.103","Main scholion 53","urn:cite:hmt:chsimg.VA103RN-0104@0.6214,0.5381,0.2226,0.115","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.56","urn:cts:greekLit:tlg5026.msA.hmt:8.104","Main scholion 54","urn:cite:hmt:chsimg.VA103RN-0104@0.6123,0.6439,0.2291,0.0378","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.57","urn:cts:greekLit:tlg5026.msA.hmt:8.105","Main scholion 55","urn:cite:hmt:chsimg.VA103RN-0104@0.6057,0.6715,0.2391,0.0654","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.58","urn:cts:greekLit:tlg5026.msA.hmt:8.106","Main scholion 56","urn:cite:hmt:chsimg.VA103RN-0104@0.1763,0.7284,0.6591,0.0545","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.59","urn:cts:greekLit:tlg5026.msA.hmt:8.107","Main scholion 57","urn:cite:hmt:chsimg.VA103RN-0104@0.1789,0.749,0.6609,0.0536","urn:cite:hmt:msA.103r"
"urn:cite:hmt:scholia.60","urn:cts:greekLit:tlg5026.msA.hmt:8.116","Main scholion 58","urn:cite:hmt:chsimg.VA103VN-0606@0.204,0.2497,0.1809,0.0802","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.61","urn:cts:greekLit:tlg5026.msA.hmt:8.117","Main scholion 59","urn:cite:hmt:chsimg.VA103VN-0606@0.206,0.3207,0.1889,0.0637","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.62","urn:cts:greekLit:tlg5026.msA.hmt:8.118","Main scholion 60","urn:cite:hmt:chsimg.VA103VN-0606@0.2014,0.3735,0.1989,0.1189","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.63","urn:cts:greekLit:tlg5026.msA.hmt:8.119","Main scholion 61","urn:cite:hmt:chsimg.VA103VN-0606@0.1986,0.4737,0.2094,0.0897","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.64","urn:cts:greekLit:tlg5026.msA.hmt:8.120","Main scholion 62","urn:cite:hmt:chsimg.VA103VN-0606@0.2194,0.7361,0.6097,0.0665","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.65","urn:cts:greekLit:tlg5026.msA.hmt:8.121","Main scholion 63","urn:cite:hmt:chsimg.VA103VN-0606@0.2329,0.7674,0.5966,0.0485","urn:cite:hmt:msA.103v"
