Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:2.96,"urn:cite:hmt:vaimg.VA026RN-0027@0.157,0.3989,0.384,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.97,"urn:cite:hmt:vaimg.VA026RN-0027@0.158,0.4155,0.384,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.98,"urn:cite:hmt:vaimg.VA026RN-0027@0.161,0.4365,0.384,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.99,"urn:cite:hmt:vaimg.VA026RN-0027@0.16,0.4553,0.374,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.100,"urn:cite:hmt:vaimg.VA026RN-0027@0.165,0.4733,0.367,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.101,"urn:cite:hmt:vaimg.VA026RN-0027@0.164,0.4936,0.379,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.102,"urn:cite:hmt:vaimg.VA026RN-0027@0.16,0.5131,0.363,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.103,"urn:cite:hmt:vaimg.VA026RN-0027@0.16,0.5297,0.388,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.104,"urn:cite:hmt:vaimg.VA026RN-0027@0.159,0.55,0.388,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.105,"urn:cite:hmt:vaimg.VA026RN-0027@0.159,0.5702,0.395,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:2.106,"urn:cite:hmt:vaimg.VA026RN-0027@0.157,0.5883,0.395,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.107,"urn:cite:hmt:vaimg.VA026RN-0027@0.156,0.6056,0.395,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.108,"urn:cite:hmt:vaimg.VA026RN-0027@0.162,0.6243,0.378,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.109,"urn:cite:hmt:vaimg.VA026RN-0027@0.158,0.6439,0.378,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.110,"urn:cite:hmt:vaimg.VA026RN-0027@0.157,0.6679,0.378,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.111,"urn:cite:hmt:vaimg.VA026VN-0528@0.477,0.2149,0.382,0.0331"
