TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.232,
urn:cts:greekLit:tlg0012.tlg001.msA:8.233,
urn:cts:greekLit:tlg0012.tlg001.msA:8.234,
urn:cts:greekLit:tlg0012.tlg001.msA:8.235,
urn:cts:greekLit:tlg0012.tlg001.msA:8.236,
urn:cts:greekLit:tlg0012.tlg001.msA:8.237,
urn:cts:greekLit:tlg0012.tlg001.msA:8.238,
urn:cts:greekLit:tlg0012.tlg001.msA:8.239,
urn:cts:greekLit:tlg0012.tlg001.msA:8.240,
urn:cts:greekLit:tlg0012.tlg001.msA:8.241,
urn:cts:greekLit:tlg0012.tlg001.msA:8.242,
urn:cts:greekLit:tlg0012.tlg001.msA:8.243,
urn:cts:greekLit:tlg0012.tlg001.msA:8.244,
urn:cts:greekLit:tlg0012.tlg001.msA:8.245,
urn:cts:greekLit:tlg0012.tlg001.msA:8.246,
urn:cts:greekLit:tlg0012.tlg001.msA:8.247,"urn:cite:hmt:vaimg.VA105VN-0608@0.4565,0.2404,0.3954,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.248,"urn:cite:hmt:vaimg.VA105VN-0608@0.4565,0.2607,0.4014,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.249,"urn:cite:hmt:vaimg.VA105VN-0608@0.4474,0.2795,0.4274,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.250,"urn:cite:hmt:vaimg.VA105VN-0608@0.4284,0.299,0.3874,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.251,"urn:cite:hmt:vaimg.VA105VN-0608@0.4535,0.3186,0.4144,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.252,"urn:cite:hmt:vaimg.VA105VN-0608@0.4575,0.3373,0.4044,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.253,"urn:cite:hmt:vaimg.VA105VN-0608@0.4565,0.3546,0.4114,0.0338"
