Passage	Description	ImageReference	Folio
urn:cts:greekLit:tlg0012.tlg001.msA:15.263	horse simile	urn:cite:hmt:chsimg.VA196RN-0367@0.80913780,0.41881051,0.03316139,0.02821577	urn:cite:hmt:msA.196r
urn:cts:greekLit:tlg0012.tlg001.msA:15.271	hunt simile	urn:cite:hmt:chsimg.VA196RN-0367@0.80766396,0.57676349,0.03647752,0.02849239	urn:cite:hmt:msA.196r
urn:cts:greekLit:tlg0012.tlg001.msA:15.323	frightened flock simile	urn:cite:hmt:chsimg.VA197RN-0368@0.80729550,0.63374827,0.03426676,0.02683264	urn:cite:hmt:msA.197r
urn:cts:greekLit:tlg0012.tlg001.msA:15.358	spear-cast simile	urn:cite:hmt:chsimg.VA198RN-0369@0.84082535,0.34467497,0.02947679,0.02213001	urn:cite:hmt:msA.198r
urn:cts:greekLit:tlg0012.tlg001.msA:15.362	sand simile	urn:cite:hmt:chsimg.VA198RN-0369@0.83935151,0.41908714,0.02763449,0.02683264	urn:cite:hmt:msA.198r
urn:cts:greekLit:tlg0012.tlg001.msA:15.381	wave and ship simile	urn:cite:hmt:chsimg.VA198VN-0700@0.16396463,0.32531120,0.03500368,0.02793914	urn:cite:hmt:msA.198v
urn:cts:greekLit:tlg0012.tlg001.msA:15.410	carpenter's line simile	urn:cite:hmt:chsimg.VA199RN-0370@0.81024318,0.38284924,0.03316139,0.02987552	urn:cite:hmt:msA.199r
urn:cts:greekLit:tlg0012.tlg001.msA:15.579	hound simile	urn:cite:hmt:chsimg.VA202VN-0704@0.16691231,0.26694329,0.03131909,0.02876902	urn:cite:hmt:msA.202v
urn:cts:greekLit:tlg0012.tlg001.msA:15.586	wild beast simile	urn:cite:hmt:chsimg.VA202VN-0704@0.16912307,0.39474412,0.02726603,0.03153527	urn:cite:hmt:msA.202v
urn:cts:greekLit:tlg0012.tlg001.msA:15.605	Ares and fire simile	urn:cite:hmt:chsimg.VA203RN-0374@0.82829772,0.25117566,0.04347826,0.03042877	urn:cite:hmt:msA.203r
urn:cts:greekLit:tlg0012.tlg001.msA:15.618	rock simile	urn:cite:hmt:chsimg.VA203RN-0374@0.82756080,0.49930844,0.03537214,0.02932227	urn:cite:hmt:msA.203r
urn:cts:greekLit:tlg0012.tlg001.msA:15.624	wave and ship simile	urn:cite:hmt:chsimg.VA203RN-0374@0.83050847,0.62102351,0.03979366,0.02849239	urn:cite:hmt:msA.203r
urn:cts:greekLit:tlg0012.tlg001.msA:15.630	lion simile	urn:cite:hmt:chsimg.VA203VN-0705@0.17612380,0.27219917,0.03610906,0.02710927	urn:cite:hmt:msA.203v
urn:cts:greekLit:tlg0012.tlg001.msA:15.679	horseman simile	urn:cite:hmt:chsimg.VA204VN-0706@0.18717760,0.28243430,0.03942520,0.02904564	urn:cite:hmt:msA.204v
urn:cts:greekLit:tlg0012.tlg001.msA:15.690	eagle simile	urn:cite:hmt:chsimg.VA204VN-0706@0.18570376,0.49211618,0.03795136,0.03153527	urn:cite:hmt:msA.204v
urn:cts:greekLit:tlg0012.tlg001.msA:16.3	fountain simile	urn:cite:hmt:chsimg.VA206RN-0377@0.79882093,0.24232365,0.04237288,0.02738589	urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg0012.tlg001.msA:16.7	girl simile	urn:cite:hmt:chsimg.VA206RN-0377@0.80176861,0.32171508,0.03205601,0.02738589	urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg0012.tlg001.msA:16.156	wolves simile	urn:cite:hmt:chsimg.VA209RN-0380@0.82203390,0.30871369,0.04310980,0.02959889	urn:cite:hmt:msA.209r
urn:cts:greekLit:tlg0012.tlg001.msA:16.212	house simile	urn:cite:hmt:chsimg.VA210RN-0381@0.84377303,0.41300138,0.02947679,0.02655602	urn:cite:hmt:msA.210r
urn:cts:greekLit:tlg0012.tlg001.msA:16.259	wasp simile	urn:cite:hmt:chsimg.VA211RN-0382@0.82571850,0.34744122,0.05195284,0.03457815	urn:cite:hmt:msA.211r
urn:cts:greekLit:tlg0012.tlg001.msA:16.297	Zeus simile (no numeral)		urn:cite:hmt:msA.211v
urn:cts:greekLit:tlg0012.tlg001.msA:16.352	wolves simile	urn:cite:hmt:chsimg.VA213RN-0384@0.81024318,0.22185339,0.04126750,0.02351314	urn:cite:hmt:msA.213r
urn:cts:greekLit:tlg0012.tlg001.msA:16.364	cloud simile	urn:cite:hmt:chsimg.VA213RN-0384@0.82977155,0.45117566,0.04053058,0.03015214	urn:cite:hmt:msA.213r
urn:cts:greekLit:tlg0012.tlg001.msA:16.384	rain simile	urn:cite:hmt:chsimg.VA213VN-0715@0.15438467,0.36154910,0.03610906,0.02766252	urn:cite:hmt:msA.213v
urn:cts:greekLit:tlg0012.tlg001.msA:16.406	fishing simile	urn:cite:hmt:chsimg.VA214RN-0385@0.81319086,0.27939142,0.03758290,0.02572614	urn:cite:hmt:msA.214r
urn:cts:greekLit:tlg0012.tlg001.msA:16.428	vultures simile	urn:cite:hmt:chsimg.VA214VN-0716@0.16175387,0.24094053,0.04532056,0.02904564	urn:cite:hmt:msA.214v
urn:cts:greekLit:tlg0012.tlg001.msA:16.482	falling tree simile	urn:cite:hmt:chsimg.VA215VN-0717@0.13596168,0.32033195,0.04310980,0.02849239	urn:cite:hmt:msA.215v
urn:cts:greekLit:tlg0012.tlg001.msA:16.487	lion and bull simile	urn:cite:hmt:chsimg.VA215VN-0717@0.14148858,0.41576763,0.04421518,0.02849239	urn:cite:hmt:msA.215v
urn:cts:greekLit:tlg0012.tlg001.msA:16.582	falcon simile	urn:cite:hmt:chsimg.VA217VN-0719@0.15291083,0.32558783,0.02689757,0.02323651	urn:cite:hmt:msA.217v
urn:cts:greekLit:tlg0012.tlg001.msA:16.589	javelin cast simile	urn:cite:hmt:chsimg.VA217VN-0719@0.15070007,0.46224066,0.04089904,0.02904564	urn:cite:hmt:msA.217v
urn:cts:greekLit:tlg0012.tlg001.msA:16.632	woodcutter simile	urn:cite:hmt:chsimg.VA218VN-0720@0.18201916,0.30401107,0.04863670,0.03264177	urn:cite:hmt:msA.218v
urn:cts:greekLit:tlg0012.tlg001.msA:16.641	fly simile	urn:cite:hmt:chsimg.VA218VN-0720@0.18644068,0.46224066,0.04347826,0.03430152	urn:cite:hmt:msA.218v
urn:cts:greekLit:tlg0012.tlg001.msA:16.751	lion simile	urn:cite:hmt:chsimg.VA220VN-0722@0.18644068,0.63374827,0.04310980,0.02683264	urn:cite:hmt:msA.220v
urn:cts:greekLit:tlg0012.tlg001.msA:16.756	lion simile	urn:cite:hmt:chsimg.VA221RN-0392@0.82756080,0.21161826,0.03389831,0.02240664	urn:cite:hmt:msA.221r
urn:cts:greekLit:tlg0012.tlg001.msA:16.765	wind and tree simile	urn:cite:hmt:chsimg.VA221RN-0392@0.83050847,0.37925311,0.03610906,0.02489627	urn:cite:hmt:msA.221r
urn:cts:greekLit:tlg0012.tlg001.msA:17.4	calf and cow simile	urn:cite:hmt:chsimg.VA223VN-0725@0.15401621,0.28741355,0.04274134,0.03015214	urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg0012.tlg001.msA:17.53	fallen olive sapling simile	urn:cite:hmt:chsimg.VA224VN-0726@0.16728077,0.27053942,0.03537214,0.02904564	urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg0012.tlg001.msA:17.61	lion simile	urn:cite:hmt:chsimg.VA224VN-0726@0.16801769,0.42047026,0.04274134,0.03015214	urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg0012.tlg001.msA:17.109	lion simile	urn:cite:hmt:chsimg.VA225VN-0727@0.15401621,0.37565698,0.03684598,0.02489627	urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg0012.tlg001.msA:17.133	lion and cubs simile	urn:cite:hmt:chsimg.VA226RN-0397@0.81798084,0.33997234,0.04716286,0.02489627	urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg0012.tlg001.msA:17.263	river simile (no numeral)		urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg0012.tlg001.msA:17.281	wild boar simile (replaced)		urn:cite:hmt:msA.229r
urn:cts:greekLit:tlg0012.tlg001.msA:17.389	hide simile (replaced)		urn:cite:hmt:msA.231r
urn:cts:greekLit:tlg0012.tlg001.msA:17.434	pillar simile (replaced)		urn:cite:hmt:msA.232r
urn:cts:greekLit:tlg0012.tlg001.msA:17.520	bull simile (replaced)		urn:cite:hmt:msA.233v
urn:cts:greekLit:tlg0012.tlg001.msA:17.547	rainbow simile (replaced)		urn:cite:hmt:msA.234r
urn:cts:greekLit:tlg0012.tlg001.msA:17.657	lion simile	urn:cite:hmt:chsimg.VA236VN-0738@0.16175387,0.27911480,0.04053058,0.02406639	urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg0012.tlg001.msA:17.674	eagle simile	urn:cite:hmt:chsimg.VA236VN-0738@0.17943994,0.59031812,0.04826824,0.03153527	urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg0012.tlg001.msA:17.725	hounds simile	urn:cite:hmt:chsimg.VA237VN-0739@0.18275608,0.60746888,0.03389831,0.02627939	urn:cite:hmt:msA.237v
urn:cts:greekLit:tlg0012.tlg001.msA:17.737	fire simile (replaced)		urn:cite:hmt:msA.238r
urn:cts:greekLit:tlg0012.tlg001.msA:17.742	mule simile (replaced)		urn:cite:hmt:msA.238r
urn:cts:greekLit:tlg0012.tlg001.msA:17.747	ridge simile (replaced)		urn:cite:hmt:msA.238r
urn:cts:greekLit:tlg0012.tlg001.msA:17.755	starlings simile (replaced)		urn:cite:hmt:msA.238v
