Lemma	Gloss	LexURN
αἰδώ		urn:cite:perseusGreek:lexentity.lex11731.1
ἱρός		urn:cite:perseusGreek:lexentity.lex117568.1
ὀίζω		urn:cite:perseusGreek:lexentity.lex118474.1
ὀθέω		urn:cite:perseusGreek:lexentity.lex118640.1
ὠρέω		urn:cite:perseusGreek:lexentity.lex126336.1
ῥέον		urn:cite:perseusGreek:lexentity.lex126763.1
γύον		urn:cite:perseusGreek:lexentity.lex17277.1
γύος		urn:cite:perseusGreek:lexentity.lex17278.1
δοκώ		urn:cite:perseusGreek:lexentity.lex21675.1
θάζω		urn:cite:perseusGreek:lexentity.lex27198.1
κάλη		urn:cite:perseusGreek:lexentity.lex29239.1
λάζω		urn:cite:perseusGreek:lexentity.lex38799.1
λυάω		urn:cite:perseusGreek:lexentity.lex41235.1
μάθη		urn:cite:perseusGreek:lexentity.lex41712.1
μέλη		urn:cite:perseusGreek:lexentity.lex41877.1
μέρα		urn:cite:perseusGreek:lexentity.lex41916.1
μυσή		urn:cite:perseusGreek:lexentity.lex46502.1
μότα		urn:cite:perseusGreek:lexentity.lex46733.1
οἰάω		urn:cite:perseusGreek:lexentity.lex49115.1
πόμα		urn:cite:perseusGreek:lexentity.lex64036.1
σχάω		urn:cite:perseusGreek:lexentity.lex72116.1
φύζω		urn:cite:perseusGreek:lexentity.lex79603.1
φύος		urn:cite:perseusGreek:lexentity.lex79627.1
χεύω		urn:cite:perseusGreek:lexentity.lex80703.1
χρέα		urn:cite:perseusGreek:lexentity.lex81334.1
χύνω		urn:cite:perseusGreek:lexentity.lex82047.1
ἀβάω		urn:cite:perseusGreek:lexentity.lex82997.1
ἀγάω		urn:cite:perseusGreek:lexentity.lex83137.1
ἀγκή		urn:cite:perseusGreek:lexentity.lex83365.1
ἀκέω		urn:cite:perseusGreek:lexentity.lex84708.1
ἀνέω		urn:cite:perseusGreek:lexentity.lex87705.1
ἄξος		urn:cite:perseusGreek:lexentity.lex98949.1
ὄντα	(sum), the things which actually exist, the present	urn:cite:perseusGreek:lexentity.lex121825.1
ἠθέω	-sift, strain	urn:cite:perseusGreek:lexentity.lex114724.1
ἄλφα	-square	urn:cite:perseusGreek:lexentity.lex98653.1
θορή	= θορός, Hdt.	urn:cite:perseusGreek:lexentity.lex28450.1
μῆρα	= μηρία, Il., Ar.	urn:cite:perseusGreek:lexentity.lex46864.1
δοιώ	= δοιοί, of which it is properly the dual, = δύο, indecl., Hom.	urn:cite:perseusGreek:lexentity.lex21634.1
ἱερή	= ἱέρεια, Anth.	urn:cite:perseusGreek:lexentity.lex117024.1
ἴτης	= ἰταμός, Ar., Plat.	urn:cite:perseusGreek:lexentity.lex117742.1
θρέω	= θρέομαι	urn:cite:perseusGreek:lexentity.lex28496.1
ἡμός	= ἡμέτερος.	urn:cite:perseusGreek:lexentity.lex115582.1
ἐρέω	@	urn:cite:perseusGreek:lexentity.lex110773.1
ἐρύω	@	urn:cite:perseusGreek:lexentity.lex111304.1
ἔρις	@	urn:cite:perseusGreek:lexentity.lex113780.1
ἔρρω	@	urn:cite:perseusGreek:lexentity.lex113801.1
ἔχθω	@	urn:cite:perseusGreek:lexentity.lex113890.1
ἴτυς	@	urn:cite:perseusGreek:lexentity.lex117747.1
ὄζος	@	urn:cite:perseusGreek:lexentity.lex121731.1
ὅπως	@	urn:cite:perseusGreek:lexentity.lex122023.1
ὦρος	@	urn:cite:perseusGreek:lexentity.lex126559.1
ῥέζω	@	urn:cite:perseusGreek:lexentity.lex126754.1
βῆμα	@	urn:cite:perseusGreek:lexentity.lex15483.1
δορά	@	urn:cite:perseusGreek:lexentity.lex21806.1
δράω	@	urn:cite:perseusGreek:lexentity.lex22018.1
δῖος	@	urn:cite:perseusGreek:lexentity.lex23684.1
εἴκω	@	urn:cite:perseusGreek:lexentity.lex24290.1
εἴρω	@	urn:cite:perseusGreek:lexentity.lex24311.1
θήρα	@	urn:cite:perseusGreek:lexentity.lex27316.1
θοός	@	urn:cite:perseusGreek:lexentity.lex28471.1
κάρα	@	urn:cite:perseusGreek:lexentity.lex29357.1
κατά	@	urn:cite:perseusGreek:lexentity.lex31485.1
κείω	@	urn:cite:perseusGreek:lexentity.lex33946.1
κλάω	@	urn:cite:perseusGreek:lexentity.lex35016.1
κλέω	@	urn:cite:perseusGreek:lexentity.lex35031.1
λεία	@	urn:cite:perseusGreek:lexentity.lex39641.1
λῦμα	@	urn:cite:perseusGreek:lexentity.lex41678.1
μύζω	@	urn:cite:perseusGreek:lexentity.lex46754.1
νίκη	@	urn:cite:perseusGreek:lexentity.lex47039.1
ναός	@	urn:cite:perseusGreek:lexentity.lex47268.1
νῆις	@	urn:cite:perseusGreek:lexentity.lex48631.1
οὐδέ	@	urn:cite:perseusGreek:lexentity.lex49665.1
οὔτι	@	urn:cite:perseusGreek:lexentity.lex49925.1
πάλη	@	urn:cite:perseusGreek:lexentity.lex50007.1
πέρα	@	urn:cite:perseusGreek:lexentity.lex50334.1
ποτή	@	urn:cite:perseusGreek:lexentity.lex58914.1
πυρά	@	urn:cite:perseusGreek:lexentity.lex63595.1
ἀκτή	@	urn:cite:perseusGreek:lexentity.lex85438.1
ἀλέω	@	urn:cite:perseusGreek:lexentity.lex85564.1
ἄγος	@	urn:cite:perseusGreek:lexentity.lex98254.1
ἄκων	@	urn:cite:perseusGreek:lexentity.lex98545.1
ἄρμα	@	urn:cite:perseusGreek:lexentity.lex99167.1
ἅδος	@	urn:cite:perseusGreek:lexentity.lex99592.1
