URN, CtsUrn, Comments, VisualEvidence, FolioUrn
"urn:cite:hmt:scholia.2726","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","47th interlinear scholion of Iliad 2 above twenty-fifth line of text","urn:cite:hmt:chsimg.VA026RN-0027@0.3019,0.659,0.0442,0.0147","urn:cite:hmt:msA.26r"
"urn:cite:hmt:scholia.2727","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","48th interlinear scholion of Iliad 2 above twenty-fifth line of text","urn:cite:hmt:chsimg.VA026RN-0027@0.4662,0.6595,0.0469,0.0133","urn:cite:hmt:msA.26r"
"urn:cite:hmt:scholia.2728","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","49th interlinear scholion of Iliad 2 above first line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.4917,0.1997,0.292,0.0245","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2729","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","50th interlinear scholion of Iliad 2 above third line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.7523,0.2548,0.0923,0.0118","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2730","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","51st interlinear scholion of Iliad 2 above sixth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.6807,0.3099,0.0433,0.0133","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2731","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","52nd interlinear scholion of Iliad 2 above seventh line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.628,0.3279,0.081,0.0143","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2732","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","urn:cite:hmt:msA.53rd interlinear scholion of Iliad 2 above fourteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.5157,0.4648,0.0323,0.0108","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2733","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","54th interlinear scholion of Iliad 2 above fourteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.6163,0.4613,0.045,0.0133","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2734","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","55th interlinear scholion of Iliad 2 above fifteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.6027,0.4778,0.0697,0.015","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2735","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","56th interlinear scholion of Iliad 2 above fifteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.8167,0.4763,0.0243,0.0135","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2736","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","57th interlinear scholion of Iliad 2 above seventeenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.7253,0.5131,0.0437,0.0123","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2737","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","58th interlinear scholion of Iliad 2 above eighteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.6917,0.5324,0.122,0.0135","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2738","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","59th interlinear scholion of Iliad 2 above ninteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.503,0.5579,0.0477,0.0115","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2739","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","60th interlinear scholion of Iliad 2 above ninteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.6597,0.5539,0.0363,0.0115","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2740","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","61st interlinear scholion of Iliad 2 above ninteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.7303,0.5522,0.0277,0.0113","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2741","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","62nd interlinear scholion of Iliad 2 above ninteenth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.7973,0.5464,0.0537,0.0165","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2742","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","urn:cite:hmt:msA.63rd interlinear scholion of Iliad 2 above twentieth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.606,0.573,0.0377,0.013","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2743","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","64th interlinear scholion of Iliad 2 above twenty-first line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.8253,0.587,0.0237,0.0135","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2744","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","65th interlinear scholion of Iliad 2 below twenty-fifth line of text","urn:cite:hmt:chsimg.VA026VN-0528@0.586,0.6874,0.1273,0.0158","urn:cite:hmt:msA.26v"
"urn:cite:hmt:scholia.2745","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","66th interlinear later hand scholion of Iliad 2 above second line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.4254,0.2279,0.0286,0.0115","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2746","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","67th interlinear later hand scholion of Iliad 2 above first line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.3371,0.195,0.1568,0.0196","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2747","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","68th interlinear later hand scholion of Iliad 2 above seventh line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.4754,0.3223,0.0425,0.0134","urn:cite:hmt:msA.27r"
