PersonUrn	Label	Description
urn:cite:hmt:pers.pers334	Theano	Pythagorean scholar (possible two different people, it is uncertain)
urn:cite:hmt:pers.pers335	Alexander	the Great
urn:cite:hmt:pers.pers336	Iphitus	Son of Eurytus, stole Heracles's cattle, killed by Heracles
urn:cite:hmt:pers.pers337	Neleids	Sons of Neleus, e.g. Nestor
urn:cite:hmt:pers.pers338	Periclymenus	Son of Neleus, killed by Heracles in the form of an eagle
urn:cite:hmt:pers.pers339	Stesichorus	first great poet of the Greek West
urn:cite:hmt:pers.pers340	Cronius	Pythagorean, attempted to explain Homer in a philosophical manner
urn:cite:hmt:pers.pers341	Alexion	Greek grammarian, 1st century AD
urn:cite:hmt:pers.pers342	Solon	Athenian statesman and law-giver
urn:cite:hmt:pers.pers343	Phocylides	Gnomic poet of Miletus
urn:cite:hmt:pers.pers344	Alectryon	Son of Itonus, father of Leitus
urn:cite:hmt:pers.pers345	Peneleus	Leader of the Boeotians
urn:cite:hmt:pers.pers346	Clonius	Leader of the Boeotians
urn:cite:hmt:pers.pers347	Hyrieus	Son of Alcyone
urn:cite:hmt:pers.pers348	Archesilaus	
urn:cite:hmt:pers.pers349	Prothoenor	Greek leader from Thespiae
urn:cite:hmt:pers.pers350	Leitus	Son of Alectryon, suitor of Helen
urn:cite:hmt:pers.pers351	Schoeneus	Father of Atalanta
urn:cite:hmt:pers.pers352	Atalanta	
urn:cite:hmt:pers.pers353	Thespius	Founder of Thespia in Boeotia
urn:cite:hmt:pers.pers354	Euphorion	Greek poet and grammarian of Chalcis
urn:cite:hmt:pers.pers355	Erythrius	Son of Themisto
urn:cite:hmt:pers.pers356	Athamantidai	Sons of Athamas
urn:cite:hmt:pers.pers357	Coronus	Koronos; Son of Caeneus, Father of Leonteus, and King of the Lapiths
urn:cite:hmt:pers.pers358	Thersander	Son of Polyneices
urn:cite:hmt:pers.pers359	Tiphys	Son of Hagnias and helmsman of the Argonauts
urn:cite:hmt:pers.pers360	Minyas	Founder of the Minyans
