Sequence,PageUrn,RV,Label
216,urn:cite:hmt:msA.108v,verso,"Venetus A (Marciana 454 = 822), folio 108, verso"
217,urn:cite:hmt:msA.109r,recto,"Venetus A (Marciana 454 = 822), folio 109, recto"
218,urn:cite:hmt:msA.109v,verso,"Venetus A (Marciana 454 = 822), folio 109, verso"
219,urn:cite:hmt:msA.110r,recto,"Venetus A (Marciana 454 = 822), folio 110, recto"
220,urn:cite:hmt:msA.110v,verso,"Venetus A (Marciana 454 = 822), folio 110, verso"
221,urn:cite:hmt:msA.111r,recto,"Venetus A (Marciana 454 = 822), folio 111, recto"
222,urn:cite:hmt:msA.111v,verso,"Venetus A (Marciana 454 = 822), folio 111, verso"
223,urn:cite:hmt:msA.112r,recto,"Venetus A (Marciana 454 = 822), folio 112, recto"
224,urn:cite:hmt:msA.112v,verso,"Venetus A (Marciana 454 = 822), folio 112, verso"
225,urn:cite:hmt:msA.113r,recto,"Venetus A (Marciana 454 = 822), folio 113, recto"
226,urn:cite:hmt:msA.113v,verso,"Venetus A (Marciana 454 = 822), folio 113, verso"
227,urn:cite:hmt:msA.114r,recto,"Venetus A (Marciana 454 = 822), folio 114, recto"
228,urn:cite:hmt:msA.114v,verso,"Venetus A (Marciana 454 = 822), folio 114, verso"
229,urn:cite:hmt:msA.115r,recto,"Venetus A (Marciana 454 = 822), folio 115, recto"
230,urn:cite:hmt:msA.115v,verso,"Venetus A (Marciana 454 = 822), folio 115, verso"
231,urn:cite:hmt:msA.116r,recto,"Venetus A (Marciana 454 = 822), folio 116, recto"
232,urn:cite:hmt:msA.116v,verso,"Venetus A (Marciana 454 = 822), folio 116, verso"
233,urn:cite:hmt:msA.117r,recto,"Venetus A (Marciana 454 = 822), folio 117, recto"
234,urn:cite:hmt:msA.117v,verso,"Venetus A (Marciana 454 = 822), folio 117, verso"
235,urn:cite:hmt:msA.118r,recto,"Venetus A (Marciana 454 = 822), folio 118, recto"
236,urn:cite:hmt:msA.118v,verso,"Venetus A (Marciana 454 = 822), folio 118, verso"
237,urn:cite:hmt:msA.119r,recto,"Venetus A (Marciana 454 = 822), folio 119, recto"
238,urn:cite:hmt:msA.119v,verso,"Venetus A (Marciana 454 = 822), folio 119, verso"
239,urn:cite:hmt:msA.120r,recto,"Venetus A (Marciana 454 = 822), folio 120, recto"
240,urn:cite:hmt:msA.120v,verso,"Venetus A (Marciana 454 = 822), folio 120, verso"
241,urn:cite:hmt:msA.121r,recto,"Venetus A (Marciana 454 = 822), folio 121, recto"
242,urn:cite:hmt:msA.121v,verso,"Venetus A (Marciana 454 = 822), folio 121, verso"
243,urn:cite:hmt:msA.122r,recto,"Venetus A (Marciana 454 = 822), folio 122, recto"
244,urn:cite:hmt:msA.122v,verso,"Venetus A (Marciana 454 = 822), folio 122, verso"
245,urn:cite:hmt:msA.123r,recto,"Venetus A (Marciana 454 = 822), folio 123, recto"
246,urn:cite:hmt:msA.123v,verso,"Venetus A (Marciana 454 = 822), folio 123, verso"
247,urn:cite:hmt:msA.124r,recto,"Venetus A (Marciana 454 = 822), folio 124, recto"
248,urn:cite:hmt:msA.124v,verso,"Venetus A (Marciana 454 = 822), folio 124, verso"
249,urn:cite:hmt:msA.125r,recto,"Venetus A (Marciana 454 = 822), folio 125, recto"
250,urn:cite:hmt:msA.125v,verso,"Venetus A (Marciana 454 = 822), folio 125, verso"
251,urn:cite:hmt:msA.126r,recto,"Venetus A (Marciana 454 = 822), folio 126, recto"
252,urn:cite:hmt:msA.126v,verso,"Venetus A (Marciana 454 = 822), folio 126, verso"
253,urn:cite:hmt:msA.127r,recto,"Venetus A (Marciana 454 = 822), folio 127, recto"
254,urn:cite:hmt:msA.127v,verso,"Venetus A (Marciana 454 = 822), folio 127, verso"
255,urn:cite:hmt:msA.128r,recto,"Venetus A (Marciana 454 = 822), folio 128, recto"
256,urn:cite:hmt:msA.128v,verso,"Venetus A (Marciana 454 = 822), folio 128, verso"
257,urn:cite:hmt:msA.129r,recto,"Venetus A (Marciana 454 = 822), folio 129, recto"
258,urn:cite:hmt:msA.129v,verso,"Venetus A (Marciana 454 = 822), folio 129, verso"
259,urn:cite:hmt:msA.130r,recto,"Venetus A (Marciana 454 = 822), folio 130, recto"
260,urn:cite:hmt:msA.130v,verso,"Venetus A (Marciana 454 = 822), folio 130, verso"
261,urn:cite:hmt:msA.131r,recto,"Venetus A (Marciana 454 = 822), folio 131, recto"
262,urn:cite:hmt:msA.131v,verso,"Venetus A (Marciana 454 = 822), folio 131, verso"
263,urn:cite:hmt:msA.132r,recto,"Venetus A (Marciana 454 = 822), folio 132, recto"
264,urn:cite:hmt:msA.132v,verso,"Venetus A (Marciana 454 = 822), folio 132, verso"
265,urn:cite:hmt:msA.133r,recto,"Venetus A (Marciana 454 = 822), folio 133, recto"
266,urn:cite:hmt:msA.133v,verso,"Venetus A (Marciana 454 = 822), folio 133, verso"
267,urn:cite:hmt:msA.134r,recto,"Venetus A (Marciana 454 = 822), folio 134, recto"
268,urn:cite:hmt:msA.134v,verso,"Venetus A (Marciana 454 = 822), folio 134, verso"
269,urn:cite:hmt:msA.135r,recto,"Venetus A (Marciana 454 = 822), folio 135, recto"
270,urn:cite:hmt:msA.135v,verso,"Venetus A (Marciana 454 = 822), folio 135, verso"
271,urn:cite:hmt:msA.136r,recto,"Venetus A (Marciana 454 = 822), folio 136, recto"
272,urn:cite:hmt:msA.136v,verso,"Venetus A (Marciana 454 = 822), folio 136, verso"
273,urn:cite:hmt:msA.137r,recto,"Venetus A (Marciana 454 = 822), folio 137, recto"
274,urn:cite:hmt:msA.137v,verso,"Venetus A (Marciana 454 = 822), folio 137, verso"
275,urn:cite:hmt:msA.138r,recto,"Venetus A (Marciana 454 = 822), folio 138, recto"
276,urn:cite:hmt:msA.138v,verso,"Venetus A (Marciana 454 = 822), folio 138, verso"
277,urn:cite:hmt:msA.139r,recto,"Venetus A (Marciana 454 = 822), folio 139, recto"
278,urn:cite:hmt:msA.139v,verso,"Venetus A (Marciana 454 = 822), folio 139, verso"
279,urn:cite:hmt:msA.140r,recto,"Venetus A (Marciana 454 = 822), folio 140, recto"
280,urn:cite:hmt:msA.140v,verso,"Venetus A (Marciana 454 = 822), folio 140, verso"
281,urn:cite:hmt:msA.141r,recto,"Venetus A (Marciana 454 = 822), folio 141, recto"
282,urn:cite:hmt:msA.141v,verso,"Venetus A (Marciana 454 = 822), folio 141, verso"
283,urn:cite:hmt:msA.142r,recto,"Venetus A (Marciana 454 = 822), folio 142, recto"
284,urn:cite:hmt:msA.142v,verso,"Venetus A (Marciana 454 = 822), folio 142, verso"
285,urn:cite:hmt:msA.143r,recto,"Venetus A (Marciana 454 = 822), folio 143, recto"
286,urn:cite:hmt:msA.143v,verso,"Venetus A (Marciana 454 = 822), folio 143, verso"
287,urn:cite:hmt:msA.144r,recto,"Venetus A (Marciana 454 = 822), folio 144, recto"
