page.v1	rv	sequence	label
urn:cite:hmt:comp.va29r.v1	recto	77	Venetus A Folio 29 recto
urn:cite:hmt:comp.va29v.v1	verso	78	Venetus A Folio 29 verso
urn:cite:hmt:comp.va30r.v1	recto	79	Venetus A Folio 30 recto
urn:cite:hmt:comp.va30v.v1	verso	80	Venetus A Folio 30 verso
urn:cite:hmt:comp.va31r.v1	recto	81	Venetus A Folio 31 recto
urn:cite:hmt:comp.va31v.v1	verso	82	Venetus A Folio 31 verso
urn:cite:hmt:comp.va32r.v1	recto	83	Venetus A Folio 32 recto
urn:cite:hmt:comp.va32v.v1	verso	84	Venetus A Folio 32 verso
urn:cite:hmt:comp.va33r.v1	recto	85	Venetus A Folio 33 recto
urn:cite:hmt:comp.va33v.v1	verso	86	Venetus A Folio 33 verso
urn:cite:hmt:comp.va34r.v1	recto	87	Venetus A Folio 34 recto
urn:cite:hmt:comp.va34v.v1	verso	88	Venetus A Folio 34 verso
urn:cite:hmt:comp.va35r.v1	recto	89	Venetus A Folio 35 recto
urn:cite:hmt:comp.va35v.v1	verso	90	Venetus A Folio 35 verso
urn:cite:hmt:comp.va36r.v1	recto	91	Venetus A Folio 36 recto
urn:cite:hmt:comp.va36v.v1	verso	92	Venetus A Folio 36 verso
urn:cite:hmt:comp.va37r.v1	recto	93	Venetus A Folio 37 recto
urn:cite:hmt:comp.va37v.v1	verso	94	Venetus A Folio 37 verso
urn:cite:hmt:comp.va38r.v1	recto	95	Venetus A Folio 38 recto
urn:cite:hmt:comp.va38v.v1	verso	96	Venetus A Folio 38 verso
urn:cite:hmt:comp.va39r.v1	recto	97	Venetus A Folio 39 recto
urn:cite:hmt:comp.va39v.v1	verso	98	Venetus A Folio 39 verso
urn:cite:hmt:comp.va40r.v1	recto	99	Venetus A Folio 40 recto
urn:cite:hmt:comp.va40v.v1	verso	100	Venetus A Folio 40 verso
urn:cite:hmt:comp.va41r.v1	recto	101	Venetus A Folio 41 recto
urn:cite:hmt:comp.va41v.v1	verso	102	Venetus A Folio 41 verso
urn:cite:hmt:comp.va42r.v1	recto	103	Venetus A Folio 42 recto
urn:cite:hmt:comp.va42v.v1	verso	104	Venetus A Folio 42 verso
urn:cite:hmt:comp.va43r.v1	recto	105	Venetus A Folio 43 recto
urn:cite:hmt:comp.va43v.v1	verso	106	Venetus A Folio 43 verso
urn:cite:hmt:comp.va44r.v1	recto	107	Venetus A Folio 44 recto
urn:cite:hmt:comp.va44v.v1	verso	108	Venetus A Folio 44 verso
urn:cite:hmt:comp.va45r.v1	recto	109	Venetus A Folio 45 recto
urn:cite:hmt:comp.va45v.v1	verso	110	Venetus A Folio 45 verso
urn:cite:hmt:comp.va46r.v1	recto	111	Venetus A Folio 46 recto
urn:cite:hmt:comp.va46v.v1	verso	112	Venetus A Folio 46 verso
urn:cite:hmt:comp.va47r.v1	recto	113	Venetus A Folio 47 recto
urn:cite:hmt:comp.va47v.v1	verso	114	Venetus A Folio 47 verso
urn:cite:hmt:comp.va48r.v1	recto	115	Venetus A Folio 48 recto
urn:cite:hmt:comp.va48v.v1	verso	116	Venetus A Folio 48 verso
urn:cite:hmt:comp.va49r.v1	recto	117	Venetus A Folio 49 recto
urn:cite:hmt:comp.va49v.v1	verso	118	Venetus A Folio 49 verso
urn:cite:hmt:comp.va50r.v1	recto	119	Venetus A Folio 50 recto
urn:cite:hmt:comp.va50v.v1	verso	120	Venetus A Folio 50 verso
urn:cite:hmt:comp.va51r.v1	recto	121	Venetus A Folio 51 recto
urn:cite:hmt:comp.va51v.v1	verso	122	Venetus A Folio 51 verso
urn:cite:hmt:comp.va52r.v1	recto	123	Venetus A Folio 52 recto
urn:cite:hmt:comp.va52v.v1	verso	124	Venetus A Folio 52 verso
urn:cite:hmt:comp.va53r.v1	recto	125	Venetus A Folio 53 recto
urn:cite:hmt:comp.va53v.v1	verso	126	Venetus A Folio 53 verso
urn:cite:hmt:comp.va54r.v1	recto	127	Venetus A Folio 54 recto
urn:cite:hmt:comp.va54v.v1	verso	128	Venetus A Folio 54 verso
urn:cite:hmt:comp.va55r.v1	recto	129	Venetus A Folio 55 recto
urn:cite:hmt:comp.va55v.v1	verso	130	Venetus A Folio 55 verso
urn:cite:hmt:comp.va56r.v1	recto	131	Venetus A Folio 56 recto
urn:cite:hmt:comp.va56v.v1	verso	132	Venetus A Folio 56 verso
urn:cite:hmt:comp.va57r.v1	recto	133	Venetus A Folio 57 recto
urn:cite:hmt:comp.va57v.v1	verso	134	Venetus A Folio 57 verso
urn:cite:hmt:comp.va58r.v1	recto	135	Venetus A Folio 58 recto
urn:cite:hmt:comp.va58v.v1	verso	136	Venetus A Folio 58 verso
urn:cite:hmt:comp.va59r.v1	recto	137	Venetus A Folio 59 recto
urn:cite:hmt:comp.va59v.v1	verso	138	Venetus A Folio 59 verso
urn:cite:hmt:comp.va60r.v1	recto	139	Venetus A Folio 60 recto
urn:cite:hmt:comp.va60v.v1	verso	140	Venetus A Folio 60 verso
urn:cite:hmt:comp.va61r.v1	recto	141	Venetus A Folio 61 recto
urn:cite:hmt:comp.va61v.v1	verso	142	Venetus A Folio 61 verso
urn:cite:hmt:comp.va62r.v1	recto	143	Venetus A Folio 62 recto
urn:cite:hmt:comp.va62v.v1	verso	144	Venetus A Folio 62 verso
urn:cite:hmt:comp.va63r.v1	recto	145	Venetus A Folio 63 recto
urn:cite:hmt:comp.va63v.v1	verso	146	Venetus A Folio 63 verso
urn:cite:hmt:comp.va64r.v1	recto	147	Venetus A Folio 64 recto
urn:cite:hmt:comp.va64v.v1	verso	148	Venetus A Folio 64 verso
urn:cite:hmt:comp.va65r.v1	recto	149	Venetus A Folio 65 recto
urn:cite:hmt:comp.va65v.v1	verso	150	Venetus A Folio 65 verso
urn:cite:hmt:comp.va66r.v1	recto	151	Venetus A Folio 66 recto
urn:cite:hmt:comp.va66v.v1	verso	152	Venetus A Folio 66 verso
urn:cite:hmt:comp.va67r.v1	recto	153	Venetus A Folio 67 recto
urn:cite:hmt:comp.va67v.v1	verso	154	Venetus A Folio 67 verso
urn:cite:hmt:comp.va68r.v1	recto	155	Venetus A Folio 68 recto
urn:cite:hmt:comp.va68v.v1	verso	156	Venetus A Folio 68 verso
urn:cite:hmt:comp.va69r.v1	recto	157	Venetus A Folio 69 recto
urn:cite:hmt:comp.va69v.v1	verso	158	Venetus A Folio 69 verso
urn:cite:hmt:comp.va70r.v1	recto	159	Venetus A Folio 70 recto
urn:cite:hmt:comp.va70v.v1	verso	160	Venetus A Folio 70 verso
urn:cite:hmt:comp.va71r.v1	recto	161	Venetus A Folio 71 recto
urn:cite:hmt:comp.va71v.v1	verso	162	Venetus A Folio 71 verso
urn:cite:hmt:comp.va72r.v1	recto	163	Venetus A Folio 72 recto
urn:cite:hmt:comp.va72v.v1	verso	164	Venetus A Folio 72 verso
urn:cite:hmt:comp.va73r.v1	recto	165	Venetus A Folio 73 recto
urn:cite:hmt:comp.va73v.v1	verso	166	Venetus A Folio 73 verso
urn:cite:hmt:comp.va74r.v1	recto	167	Venetus A Folio 74 recto
urn:cite:hmt:comp.va74v.v1	verso	168	Venetus A Folio 74 verso
urn:cite:hmt:comp.va75r.v1	recto	169	Venetus A Folio 75 recto
urn:cite:hmt:comp.va75v.v1	verso	170	Venetus A Folio 75 verso
urn:cite:hmt:comp.va76r.v1	recto	171	Venetus A Folio 76 recto
urn:cite:hmt:comp.va76v.v1	verso	172	Venetus A Folio 76 verso
urn:cite:hmt:comp.va77r.v1	recto	173	Venetus A Folio 77 recto
urn:cite:hmt:comp.va77v.v1	verso	174	Venetus A Folio 77 verso
urn:cite:hmt:comp.va78r.v1	recto	175	Venetus A Folio 78 recto
urn:cite:hmt:comp.va78v.v1	verso	176	Venetus A Folio 78 verso
urn:cite:hmt:comp.va79r.v1	recto	177	Venetus A Folio 79 recto
