Image.v1,Label,Rights
urn:cite:hmt:e3bifolio.E3_70v_71r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 70v and 71r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_71v_72r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 71v and 72r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_72v_73r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 72v and 73r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_73v_74r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 73v and 74r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_74v_75r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 74v and 75r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_75v_76r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 75v and 76r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_76v_77r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 76v and 77r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_77v_78r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 77v and 78r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_78v_79r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 78v and 79r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_79v_80r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 79v and 80r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_80v_81r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 80v and 81r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_81v_81bisr.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 81v and 81bisr.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_82v_83r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 82v and 83r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_83v_84r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 83v and 84r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_84v_85r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 84v and 85r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_85v_86r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 85v and 86r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
