Image.v1,Label,Rights
urn:cite:ecod:codbod85.cb_0085_032r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 32r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 32r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_032v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 32v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 32v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_033r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 33r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 33r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_033v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 33v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 33v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_034r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 34r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 34r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_034v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 34v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 34v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_035r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 35r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 35r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_035v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 35v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 35v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_036r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 36r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 36r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_036v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 36v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 36v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_037r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 37r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 37r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_037v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 37v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 37v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_038r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 38r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 38r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
