urn:cts:greekLit:tlg5026.e3.hmt:8.106	urn:cts:greekLit:tlg0012.tlg001.e3:8.176
urn:cts:greekLit:tlg5026.e3.hmt:8.107	urn:cts:greekLit:tlg0012.tlg001.e3:8.178
urn:cts:greekLit:tlg5026.e3.hmt:8.108	urn:cts:greekLit:tlg0012.tlg001.e3:8.182
urn:cts:greekLit:tlg5026.e3.hmt:8.109	urn:cts:greekLit:tlg0012.tlg001.e3:8.185
urn:cts:greekLit:tlg5026.e3.hmt:8.110	urn:cts:greekLit:tlg0012.tlg001.e3:8.186-8.190
urn:cts:greekLit:tlg5026.e3.hmt:8.111	urn:cts:greekLit:tlg0012.tlg001.e3:8.192-8.197
urn:cts:greekLit:tlg5026.e3.hmt:8.121	null
urn:cts:greekLit:tlg5026.e3.hmt:8.122	urn:cts:greekLit:tlg0012.tlg001.e3:8.199
urn:cts:greekLit:tlg5026.e3.hmt:8.123	urn:cts:greekLit:tlg0012.tlg001.e3:8.201-8.202
urn:cts:greekLit:tlg5026.e3.hmt:8.124	urn:cts:greekLit:tlg0012.tlg001.e3:8.203
urn:cts:greekLit:tlg5026.e3.hmt:8.125	urn:cts:greekLit:tlg0012.tlg001.e3:8.203
urn:cts:greekLit:tlg5026.e3.hmt:8.126	urn:cts:greekLit:tlg0012.tlg001.e3:8.206
urn:cts:greekLit:tlg5026.e3.hmt:8.127	urn:cts:greekLit:tlg0012.tlg001.e3:8.206-8.207
urn:cts:greekLit:tlg5026.e3.hmt:8.128	urn:cts:greekLit:tlg0012.tlg001.e3:8.208
urn:cts:greekLit:tlg5026.e3.hmt:8.129	urn:cts:greekLit:tlg0012.tlg001.e3:8.209
urn:cts:greekLit:tlg5026.e3.hmt:8.130	urn:cts:greekLit:tlg0012.tlg001.e3:8.210
urn:cts:greekLit:tlg5026.e3.hmt:8.131	urn:cts:greekLit:tlg0012.tlg001.e3:8.213
urn:cts:greekLit:tlg5026.e3.hmt:8.145	urn:cts:greekLit:tlg0012.tlg001.e3:8.217
urn:cts:greekLit:tlg5026.e3.hmt:8.146	urn:cts:greekLit:tlg0012.tlg001.e3:8.218
urn:cts:greekLit:tlg5026.e3.hmt:8.147	urn:cts:greekLit:tlg0012.tlg001.e3:8.221
urn:cts:greekLit:tlg5026.e3.hmt:8.148	urn:cts:greekLit:tlg0012.tlg001.e3:8.227
urn:cts:greekLit:tlg5026.e3.hmt:8.149	urn:cts:greekLit:tlg0012.tlg001.e3:8.228
urn:cts:greekLit:tlg5026.e3.hmt:8.150	urn:cts:greekLit:tlg0012.tlg001.e3:8.229
urn:cts:greekLit:tlg5026.e3.hmt:8.153	urn:cts:greekLit:tlg0012.tlg001.e3:8.233
urn:cts:greekLit:tlg5026.e3.hmt:8.155	urn:cts:greekLit:tlg0012.tlg001.e3:8.235-236
urn:cts:greekLit:tlg5026.e3.hmt:8.156	urn:cts:greekLit:tlg0012.tlg001.e3:8.230
urn:cts:greekLit:tlg5026.e3.hmt:8.157	urn:cts:greekLit:tlg0012.tlg001.e3:8.239-8.240
urn:cts:greekLit:tlg5026.e3.hmt:8.159	urn:cts:greekLit:tlg0012.tlg001.e3:8.242
urn:cts:greekLit:tlg5026.e3.hmt:8.160	urn:cts:greekLit:tlg0012.tlg001.e3:8.243
urn:cts:greekLit:tlg5026.e3.hmt:8.171	urn:cts:greekLit:tlg0012.tlg001.e3:8.245
urn:cts:greekLit:tlg5026.e3.hmt:8.172	urn:cts:greekLit:tlg0012.tlg001.e3:8.247-8.250
urn:cts:greekLit:tlg5026.e3.hmt:8.173	urn:cts:greekLit:tlg0012.tlg001.e3:8.248
urn:cts:greekLit:tlg5026.e3.hmt:8.174	urn:cts:greekLit:tlg0012.tlg001.e3:8.249-8.250
urn:cts:greekLit:tlg5026.e3.hmt:8.175	urn:cts:greekLit:tlg0012.tlg001.e3:8.251
urn:cts:greekLit:tlg5026.e3.hmt:8.176	urn:cts:greekLit:tlg0012.tlg001.e3:8.251
urn:cts:greekLit:tlg5026.e3.hmt:8.178	urn:cts:greekLit:tlg0012.tlg001.e3:8.253-8.254
urn:cts:greekLit:tlg5026.e3.hmt:8.179	urn:cts:greekLit:tlg0012.tlg001.e3:8.257
urn:cts:greekLit:tlg5026.e3.hmt:8.180	urn:cts:greekLit:tlg0012.tlg001.e3:8.261-8.266
urn:cts:greekLit:tlg5026.e3.hmt:8.181	urn:cts:greekLit:tlg0012.tlg001.e3:8.266
urn:cts:greekLit:tlg5026.e3.hmt:8.188	urn:cts:greekLit:tlg0012.tlg001.e3:8.268
urn:cts:greekLit:tlg5026.e3.hmt:8.189	urn:cts:greekLit:tlg0012.tlg001.e3:8.269
urn:cts:greekLit:tlg5026.e3.hmt:8.190	urn:cts:greekLit:tlg0012.tlg001.e3:8.274-8.276
urn:cts:greekLit:tlg5026.e3.hmt:8.191	urn:cts:greekLit:tlg0012.tlg001.e3:8.279
urn:cts:greekLit:tlg5026.e3.hmt:8.192	urn:cts:greekLit:tlg0012.tlg001.e3:8.281-8.282
urn:cts:greekLit:tlg5026.e3.hmt:8.194	urn:cts:greekLit:tlg0012.tlg001.e3:8.282
urn:cts:greekLit:tlg5026.e3.hmt:8.195	urn:cts:greekLit:tlg0012.tlg001.e3:8.283
urn:cts:greekLit:tlg5026.e3.hmt:8.196	urn:cts:greekLit:tlg0012.tlg001.e3:8.284
urn:cts:greekLit:tlg5026.e3.hmt:8.197	urn:cts:greekLit:tlg0012.tlg001.e3:8.291
urn:cts:greekLit:tlg5026.e3.hmt:8.203	urn:cts:greekLit:tlg0012.tlg001.e3:8.293
urn:cts:greekLit:tlg5026.e3.hmt:8.204	urn:cts:greekLit:tlg0012.tlg001.e3:8.296
urn:cts:greekLit:tlg5026.e3.hmt:8.205	urn:cts:greekLit:tlg0012.tlg001.e3:8.299
urn:cts:greekLit:tlg5026.e3.hmt:8.206	urn:cts:greekLit:tlg0012.tlg001.e3:8.306-8.308
urn:cts:greekLit:tlg5026.e3.hmt:8.207	urn:cts:greekLit:tlg0012.tlg001.e3:8.307
urn:cts:greekLit:tlg5026.e3.hmt:8.209	urn:cts:greekLit:tlg0012.tlg001.e3:8.311
urn:cts:greekLit:tlg5026.e3.hmt:8.211	urn:cts:greekLit:tlg0012.tlg001.e3:8.312
urn:cts:greekLit:tlg5026.e3.hmt:8.212	urn:cts:greekLit:tlg0012.tlg001.e3:8.313
urn:cts:greekLit:tlg5026.e3.hmt:8.214	urn:cts:greekLit:tlg0012.tlg001.e3:8.325
urn:cts:greekLit:tlg5026.e3.hmt:8.215	urn:cts:greekLit:tlg0012.tlg001.e3:8.325
urn:cts:greekLit:tlg5026.e3.hmt:8.216	urn:cts:greekLit:tlg0012.tlg001.e3:8.331
urn:cts:greekLit:tlg5026.e3.hmt:8.217	urn:cts:greekLit:tlg0012.tlg001.e3:8.335
urn:cts:greekLit:tlg5026.e3.hmt:8.218	urn:cts:greekLit:tlg0012.tlg001.e3:8.336
urn:cts:greekLit:tlg5026.e3.hmt:8.219	urn:cts:greekLit:tlg0012.tlg001.e3:8.338-8.340
urn:cts:greekLit:tlg5026.e3.hmt:8.220	urn:cts:greekLit:tlg0012.tlg001.e3:8.339-8.340
urn:cts:greekLit:tlg5026.e3.hmt:8.230	urn:cts:greekLit:tlg0012.tlg001.e3:8.345-8.347
urn:cts:greekLit:tlg5026.e3.hmt:8.231	urn:cts:greekLit:tlg0012.tlg001.e3:8.348
urn:cts:greekLit:tlg5026.e3.hmt:8.232	urn:cts:greekLit:tlg0012.tlg001.e3:8.349
urn:cts:greekLit:tlg5026.e3.hmt:8.234	urn:cts:greekLit:tlg0012.tlg001.e3:8.350
urn:cts:greekLit:tlg5026.e3.hmt:8.236	urn:cts:greekLit:tlg0012.tlg001.e3:8.351
urn:cts:greekLit:tlg5026.e3.hmt:8.237	urn:cts:greekLit:tlg0012.tlg001.e3:8.352-8.353
urn:cts:greekLit:tlg5026.e3.hmt:8.238	urn:cts:greekLit:tlg0012.tlg001.e3:8.355-8.356
urn:cts:greekLit:tlg5026.e3.hmt:8.239	urn:cts:greekLit:tlg0012.tlg001.e3:8.358-8.360
urn:cts:greekLit:tlg5026.e3.hmt:8.240	urn:cts:greekLit:tlg0012.tlg001.e3:8.360
urn:cts:greekLit:tlg5026.e3.hmt:8.241	urn:cts:greekLit:tlg0012.tlg001.e3:8.362
urn:cts:greekLit:tlg5026.e3.hmt:8.242	urn:cts:greekLit:tlg0012.tlg001.e3:8.364
urn:cts:greekLit:tlg5026.e3.hmt:8.255	urn:cts:greekLit:tlg0012.tlg001.e3:8.367-8.368
