IliadZone,Folio,ImageRoI,Notes
urn:cite:hmt:textblock.260.v1,urn:cite:hmt:msA.141v,"urn:cite:hmt:vaimg.VA141VN_0643.v1@0.49,0.2231,0.448,0.4861",
urn:cite:hmt:textblock.261.v1,urn:cite:hmt:msA.142r,"urn:cite:hmt:vaimg.VA142RN_0314.v1@0.151,0.1991,0.44,0.4929",
urn:cite:hmt:textblock.262.v1,urn:cite:hmt:msA.142v,"urn:cite:hmt:vaimg.VA142VN_0644.v1@0.491,0.2276,0.442,0.4823",
urn:cite:hmt:textblock.263.v1,urn:cite:hmt:msA.143r,"urn:cite:hmt:vaimg.VA143RN_0315.v1@0.144,0.2044,0.466,0.5101",
urn:cite:hmt:textblock.264.v1,urn:cite:hmt:msA.143v,"urn:cite:hmt:vaimg.VA143VN_0645.v1@0.503,0.2314,0.445,0.4944",
urn:cite:hmt:textblock.265.v1,urn:cite:hmt:msA.144r,"urn:cite:hmt:vaimg.VA144RN_0316.v1@0.157,0.1991,0.474,0.4996",
urn:cite:hmt:textblock.266.v1,urn:cite:hmt:msA.144v,"urn:cite:hmt:vaimg.VA144VN_0646.v1@0.496,0.2171,0.446,0.5034",
urn:cite:hmt:textblock.267.v1,urn:cite:hmt:msA.145r,"urn:cite:hmt:vaimg.VA145RN_0317.v1@0.151,0.1991,0.466,0.4966",
urn:cite:hmt:textblock.268.v1,urn:cite:hmt:msA.145v,"urn:cite:hmt:vaimg.VA145VN_0647.v1@0.499,0.2261,0.439,0.4906",
urn:cite:hmt:textblock.269.v1,urn:cite:hmt:msA.146r,"urn:cite:hmt:vaimg.VA146RN_0318.v1@0.148,0.1976,0.481,0.4951",
urn:cite:hmt:textblock.270.v1,urn:cite:hmt:msA.146v,"urn:cite:hmt:vaimg.VA146VN_0648.v1@0.489,0.2216,0.446,0.4966",
urn:cite:hmt:textblock.271.v1,urn:cite:hmt:msA.147r,"urn:cite:hmt:vaimg.VA147RN_0319.v1@0.157,0.1931,0.452,0.4989",
urn:cite:hmt:textblock.272.v1,urn:cite:hmt:msA.147v,"urn:cite:hmt:vaimg.VA147VN_0649.v1@0.484,0.2141,0.45,0.5019",
urn:cite:hmt:textblock.273.v1,urn:cite:hmt:msA.148r,"urn:cite:hmt:vaimg.VA148RN_0320.v1@0.159,0.1968,0.46,0.5019",
urn:cite:hmt:textblock.274.v1,urn:cite:hmt:msA.148v,"urn:cite:hmt:vaimg.VA148VN_0650.v1@0.502,0.2231,0.443,0.5004",
urn:cite:hmt:textblock.275.v1,urn:cite:hmt:msA.149r,"urn:cite:hmt:vaimg.VA149RN_0321.v1@0.167,0.1983,0.46,0.4869",
urn:cite:hmt:textblock.276.v1,urn:cite:hmt:msA.149v,"urn:cite:hmt:vaimg.VA149VN_0651.v1@0.483,0.2209,0.453,0.4951",
urn:cite:hmt:textblock.277.v1,urn:cite:hmt:msA.150r,"urn:cite:hmt:vaimg.VA150RN_0322.v1@0.162,0.2066,0.431,0.4951",
urn:cite:hmt:textblock.278.v1,urn:cite:hmt:msA.150v,"urn:cite:hmt:vaimg.VA150VN_0652.v1@0.489,0.2292,0.45,0.4944",
urn:cite:hmt:textblock.279.v1,urn:cite:hmt:msA.151r,"urn:cite:hmt:vaimg.VA151RN_0323.v1@0.16,0.2021,0.459,0.5004",
urn:cite:hmt:textblock.280.v1,urn:cite:hmt:msA.151v,"urn:cite:hmt:vaimg.VA151VN_0653.v1@0.476,0.2261,0.449,0.4921",
urn:cite:hmt:textblock.281.v1,urn:cite:hmt:msA.152r,"urn:cite:hmt:vaimg.VA152RN_0324.v1@0.154,0.2021,0.449,0.4861",
urn:cite:hmt:textblock.282.v1,urn:cite:hmt:msA.152v,"urn:cite:hmt:vaimg.VA152VN_0654.v1@0.498,0.2224,0.446,0.4981",
urn:cite:hmt:textblock.283.v1,urn:cite:hmt:msA.153r,"urn:cite:hmt:vaimg.VA153RN_0325.v1@0.148,0.2014,0.479,0.5079",
urn:cite:hmt:textblock.284.v1,urn:cite:hmt:msA.153v,"urn:cite:hmt:vaimg.VA153VN_0655.v1@0.487,0.2276,0.44,0.4876",
urn:cite:hmt:textblock.285.v1,urn:cite:hmt:msA.154r,"urn:cite:hmt:vaimg.VA154RN_0326.v1@0.16,0.1901,0.442,0.417",
urn:cite:hmt:textblock.286.v1,urn:cite:hmt:msA.154v,"urn:cite:hmt:vaimg.VA154VN_0656.v1@0.454,0.2021,0.494,0.5049",start of book mu
urn:cite:hmt:textblock.287.v1,urn:cite:hmt:msA.155r,"urn:cite:hmt:vaimg.VA155RN_0327.v1@0.158,0.2014,0.456,0.5019",
urn:cite:hmt:textblock.288.v1,urn:cite:hmt:msA.155v,"urn:cite:hmt:vaimg.VA155VN_0657.v1@0.488,0.2254,0.464,0.4951",
urn:cite:hmt:textblock.289.v1,urn:cite:hmt:msA.156r,"urn:cite:hmt:vaimg.VA156RN_0327.v1@0.163,0.1938,0.468,0.4966",
urn:cite:hmt:textblock.290.v1,urn:cite:hmt:msA.156v,"urn:cite:hmt:vaimg.VA156VN_0658.v1@0.492,0.2119,0.454,0.5034",
urn:cite:hmt:textblock.291.v1,urn:cite:hmt:msA.157r,"urn:cite:hmt:vaimg.VA157RN_0328.v1@0.154,0.1991,0.451,0.4906",
urn:cite:hmt:textblock.292.v1,urn:cite:hmt:msA.157v,"urn:cite:hmt:vaimg.VA157VN_0659.v1@0.504,0.2216,0.437,0.4876",
urn:cite:hmt:textblock.293.v1,urn:cite:hmt:msA.158r,"urn:cite:hmt:vaimg.VA158RN_0329.v1@0.16,0.1968,0.463,0.4921",reinserted line in bottom margin
urn:cite:hmt:textblock.294.v1,urn:cite:hmt:msA.158v,"urn:cite:hmt:vaimg.VA158VN_0660.v1@0.486,0.2209,0.468,0.4929",reinserted line in bottom margin
urn:cite:hmt:textblock.295.v1,urn:cite:hmt:msA.159r,"urn:cite:hmt:vaimg.VA159RN_0330.v1@0.17,0.1931,0.453,0.4981",
urn:cite:hmt:textblock.296.v1,urn:cite:hmt:msA.159v,"urn:cite:hmt:vaimg.VA159VN_0661.v1@0.491,0.2171,0.451,0.4914",
urn:cite:hmt:textblock.297.v1,urn:cite:hmt:msA.160r,"urn:cite:hmt:vaimg.VA160RN_0331.v1@0.167,0.1953,0.465,0.4899",
urn:cite:hmt:textblock.298.v1,urn:cite:hmt:msA.160v,"urn:cite:hmt:vaimg.VA160VN_0662.v1@0.472,0.2164,0.454,0.4921",
urn:cite:hmt:textblock.299.v1,urn:cite:hmt:msA.161r,"urn:cite:hmt:vaimg.VA161RN_0332.v1@0.158,0.1931,0.476,0.4951",
urn:cite:hmt:textblock.300.v1,urn:cite:hmt:msA.161v,"urn:cite:hmt:vaimg.VA161VN_0663.v1@0.468,0.2164,0.472,0.4869",
urn:cite:hmt:textblock.301.v1,urn:cite:hmt:msA.162r,"urn:cite:hmt:vaimg.VA162RN_0333.v1@0.153,0.1953,0.468,0.4944",
urn:cite:hmt:textblock.302.v1,urn:cite:hmt:msA.162v,"urn:cite:hmt:vaimg.VA162VN_0664.v1@0.476,0.2156,0.468,0.4921",
urn:cite:hmt:textblock.303.v1,urn:cite:hmt:msA.163r,"urn:cite:hmt:vaimg.VA163RN_0334.v1@0.159,0.1938,0.475,0.4966",
urn:cite:hmt:textblock.304.v1,urn:cite:hmt:msA.163v,"urn:cite:hmt:vaimg.VA163VN_0665.v1@0.476,0.2104,0.466,0.3757",end of book mu with shorter text block
