URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.88,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.4493,0.4064,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.89,"urn:cite:hmt:vaimg.VA127VN-0630@0.4855,0.4696,0.4084,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.90,"urn:cite:hmt:vaimg.VA127VN-0630@0.4835,0.4876,0.4094,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.91,"urn:cite:hmt:vaimg.VA127VN-0630@0.4835,0.5041,0.4144,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.92,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.5237,0.4144,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.93,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.5402,0.4144,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.94,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.5582,0.4144,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.95,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.5785,0.4304,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.96,"urn:cite:hmt:vaimg.VA127VN-0630@0.4855,0.598,0.4154,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.97,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.6138,0.4314,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.98,"urn:cite:hmt:vaimg.VA127VN-0630@0.4835,0.6364,0.4024,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.99,"urn:cite:hmt:vaimg.VA127VN-0630@0.4935,0.6536,0.4214,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.100,"urn:cite:hmt:vaimg.VA127VN-0630@0.4885,0.6709,0.4274,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:10.151,"urn:cite:hmt:vaimg.VA129RN-0301@0.1692,0.2029,0.4394,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.152,"urn:cite:hmt:vaimg.VA129RN-0301@0.1662,0.2239,0.4354,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.153,"urn:cite:hmt:vaimg.VA129RN-0301@0.1622,0.2434,0.4374,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.154,"urn:cite:hmt:vaimg.VA129RN-0301@0.1662,0.263,0.4404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.155,"urn:cite:hmt:vaimg.VA129RN-0301@0.1642,0.2825,0.3774,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.156,"urn:cite:hmt:vaimg.VA129RN-0301@0.1632,0.3005,0.4294,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.157,"urn:cite:hmt:vaimg.VA129RN-0301@0.1592,0.3223,0.4244,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.158,"urn:cite:hmt:vaimg.VA129RN-0301@0.1582,0.3434,0.4234,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.159,"urn:cite:hmt:vaimg.VA129RN-0301@0.1672,0.3591,0.4234,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.160,"urn:cite:hmt:vaimg.VA129RN-0301@0.1652,0.3779,0.3944,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.161,"urn:cite:hmt:vaimg.VA129RN-0301@0.1632,0.3989,0.4094,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.162,"urn:cite:hmt:vaimg.VA129RN-0301@0.1612,0.4185,0.4384,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.163,"urn:cite:hmt:vaimg.VA129RN-0301@0.1612,0.4395,0.4334,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:10.164,"urn:cite:hmt:vaimg.VA129RN-0301@0.1592,0.453,0.4484,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.165,"urn:cite:hmt:vaimg.VA129RN-0301@0.1532,0.4733,0.4244,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.166,"urn:cite:hmt:vaimg.VA129RN-0301@0.1542,0.4944,0.4214,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.167,"urn:cite:hmt:vaimg.VA129RN-0301@0.1592,0.5116,0.4344,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.168,"urn:cite:hmt:vaimg.VA129RN-0301@0.1542,0.5327,0.4374,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.169,"urn:cite:hmt:vaimg.VA129RN-0301@0.1562,0.5522,0.4505,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.170,"urn:cite:hmt:vaimg.VA129RN-0301@0.1522,0.5695,0.4314,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.171,"urn:cite:hmt:vaimg.VA129RN-0301@0.1572,0.5875,0.4224,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.172,"urn:cite:hmt:vaimg.VA129RN-0301@0.1532,0.6093,0.4234,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.173,"urn:cite:hmt:vaimg.VA129RN-0301@0.1512,0.6281,0.4234,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.174,"urn:cite:hmt:vaimg.VA129RN-0301@0.1502,0.6469,0.4234,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.175,"urn:cite:hmt:vaimg.VA129RN-0301@0.1471,0.6649,0.4274,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.176,"urn:cite:hmt:vaimg.VA129VN-0632@0.4795,0.2337,0.3964,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.177,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.2502,0.4224,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.178,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.2502,0.4224,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.179,"urn:cite:hmt:vaimg.VA129VN-0632@0.4815,0.2878,0.4224,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.180,"urn:cite:hmt:vaimg.VA129VN-0632@0.4795,0.3073,0.4224,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.181,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.3261,0.4004,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.182,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.3479,0.3504,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.183,"urn:cite:hmt:vaimg.VA129VN-0632@0.4795,0.3659,0.4164,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.184,"urn:cite:hmt:vaimg.VA129VN-0632@0.4785,0.3817,0.4194,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.185,"urn:cite:hmt:vaimg.VA129VN-0632@0.4775,0.4035,0.4184,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.186,"urn:cite:hmt:vaimg.VA129VN-0632@0.4795,0.423,0.4274,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.187,"urn:cite:hmt:vaimg.VA129VN-0632@0.4765,0.4425,0.4284,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.188,"urn:cite:hmt:vaimg.VA129VN-0632@0.4815,0.4598,0.4284,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.189,"urn:cite:hmt:vaimg.VA129VN-0632@0.4785,0.4816,0.4154,0.0173"
urn:cts:greekLit:tlg0012.tlg001.msA:10.190,"urn:cite:hmt:vaimg.VA129VN-0632@0.4785,0.5004,0.4344,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:10.192,"urn:cite:hmt:vaimg.VA129VN-0632@0.4815,0.5154,0.4404,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.193,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.5372,0.4104,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.194,"urn:cite:hmt:vaimg.VA129VN-0632@0.4785,0.5522,0.3994,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.195,"urn:cite:hmt:vaimg.VA129VN-0632@0.4835,0.5695,0.3994,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.196,"urn:cite:hmt:vaimg.VA129VN-0632@0.4815,0.5928,0.4164,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.197,"urn:cite:hmt:vaimg.VA129VN-0632@0.4775,0.6101,0.4164,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.198,"urn:cite:hmt:vaimg.VA129VN-0632@0.4805,0.6281,0.4164,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.199,"urn:cite:hmt:vaimg.VA129VN-0632@0.4835,0.6431,0.4264,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.200,"urn:cite:hmt:vaimg.VA129VN-0632@0.4845,0.6657,0.4394,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.201,"urn:cite:hmt:vaimg.VA129VN-0632@0.4835,0.6867,0.3884,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.202,"urn:cite:hmt:vaimg.VA130RN-0302@0.1692,0.2006,0.4254,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.203,"urn:cite:hmt:vaimg.VA130RN-0302@0.1642,0.2276,0.4254,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.204,"urn:cite:hmt:vaimg.VA130RN-0302@0.1612,0.2434,0.4294,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.205,"urn:cite:hmt:vaimg.VA130RN-0302@0.1622,0.2637,0.4084,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.206,"urn:cite:hmt:vaimg.VA130RN-0302@0.1602,0.281,0.4224,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.207,"urn:cite:hmt:vaimg.VA130RN-0302@0.1572,0.305,0.4084,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.208,"urn:cite:hmt:vaimg.VA130RN-0302@0.1572,0.3231,0.4084,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.209,"urn:cite:hmt:vaimg.VA130RN-0302@0.1612,0.3411,0.4424,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.210,"urn:cite:hmt:vaimg.VA130RN-0302@0.1602,0.3584,0.4284,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.211,"urn:cite:hmt:vaimg.VA130RN-0302@0.1572,0.3832,0.4384,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.212,"urn:cite:hmt:vaimg.VA130RN-0302@0.1552,0.4035,0.4244,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.213,"urn:cite:hmt:vaimg.VA130RN-0302@0.1552,0.4177,0.4444,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.214,"urn:cite:hmt:vaimg.VA130RN-0302@0.1542,0.4403,0.3674,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.215,"urn:cite:hmt:vaimg.VA130RN-0302@0.1532,0.4591,0.4404,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.216,"urn:cite:hmt:vaimg.VA130RN-0302@0.1532,0.4778,0.4484,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.217,"urn:cite:hmt:vaimg.VA130RN-0302@0.1481,0.4966,0.4164,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.218,"urn:cite:hmt:vaimg.VA130RN-0302@0.1512,0.5154,0.4595,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.219,"urn:cite:hmt:vaimg.VA130RN-0302@0.1542,0.5364,0.4344,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.220,"urn:cite:hmt:vaimg.VA130RN-0302@0.1532,0.5545,0.4344,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.221,"urn:cite:hmt:vaimg.VA130RN-0302@0.1542,0.5725,0.4575,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.222,"urn:cite:hmt:vaimg.VA130RN-0302@0.1522,0.5913,0.4575,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.223,"urn:cite:hmt:vaimg.VA130RN-0302@0.1532,0.6116,0.4134,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.224,"urn:cite:hmt:vaimg.VA130RN-0302@0.1552,0.6304,0.4184,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.225,"urn:cite:hmt:vaimg.VA130RN-0302@0.1552,0.6521,0.4234,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.226,"urn:cite:hmt:vaimg.VA130RN-0302@0.1552,0.6679,0.4124,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.227,"urn:cite:hmt:vaimg.VA130VN-0633@0.4695,0.2254,0.4004,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:10.228,"urn:cite:hmt:vaimg.VA130VN-0633@0.4695,0.2502,0.3594,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.229,"urn:cite:hmt:vaimg.VA130VN-0633@0.4755,0.2697,0.4084,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.230,"urn:cite:hmt:vaimg.VA130VN-0633@0.4745,0.2893,0.4044,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.231,"urn:cite:hmt:vaimg.VA130VN-0633@0.4785,0.3095,0.4214,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.232,"urn:cite:hmt:vaimg.VA130VN-0633@0.4755,0.3283,0.3994,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.233,"urn:cite:hmt:vaimg.VA130VN-0633@0.4765,0.3479,0.4254,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.234,"urn:cite:hmt:vaimg.VA130VN-0633@0.4725,0.3711,0.4104,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.235,"urn:cite:hmt:vaimg.VA130VN-0633@0.4735,0.3892,0.4194,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.236,"urn:cite:hmt:vaimg.VA130VN-0633@0.4725,0.4057,0.4364,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.237,"urn:cite:hmt:vaimg.VA130VN-0633@0.4775,0.4237,0.4364,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.238,"urn:cite:hmt:vaimg.VA130VN-0633@0.4805,0.4418,0.4364,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.239,"urn:cite:hmt:vaimg.VA130VN-0633@0.4785,0.4621,0.4194,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.240,"urn:cite:hmt:vaimg.VA130VN-0633@0.4775,0.4808,0.4394,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.241,"urn:cite:hmt:vaimg.VA130VN-0633@0.4765,0.5004,0.4294,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.242,"urn:cite:hmt:vaimg.VA130VN-0633@0.4765,0.5184,0.4294,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.243,"urn:cite:hmt:vaimg.VA130VN-0633@0.4755,0.5379,0.4294,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.244,"urn:cite:hmt:vaimg.VA130VN-0633@0.4785,0.5582,0.4424,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.245,"urn:cite:hmt:vaimg.VA130VN-0633@0.4805,0.577,0.4184,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.246,"urn:cite:hmt:vaimg.VA130VN-0633@0.4825,0.5928,0.4284,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.247,"urn:cite:hmt:vaimg.VA130VN-0633@0.4825,0.6123,0.4234,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.248,"urn:cite:hmt:vaimg.VA130VN-0633@0.4805,0.6296,0.4324,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.249,"urn:cite:hmt:vaimg.VA130VN-0633@0.4805,0.6506,0.4324,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.250,"urn:cite:hmt:vaimg.VA130VN-0633@0.4775,0.6694,0.4324,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.251,"urn:cite:hmt:vaimg.VA130VN-0633@0.4835,0.6882,0.4384,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.252,"urn:cite:hmt:vaimg.VA131RN-0303@0.1722,0.1961,0.4575,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:10.253,"urn:cite:hmt:vaimg.VA131RN-0303@0.1712,0.2239,0.4615,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.254,"urn:cite:hmt:vaimg.VA131RN-0303@0.1672,0.2404,0.4264,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.255,"urn:cite:hmt:vaimg.VA131RN-0303@0.1662,0.2615,0.4645,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.256,"urn:cite:hmt:vaimg.VA131RN-0303@0.1672,0.2802,0.4535,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.257,"urn:cite:hmt:vaimg.VA131RN-0303@0.1672,0.2983,0.4535,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.258,"urn:cite:hmt:vaimg.VA131RN-0303@0.1712,0.3216,0.4535,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.259,"urn:cite:hmt:vaimg.VA131RN-0303@0.1702,0.3388,0.4254,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.260,"urn:cite:hmt:vaimg.VA131RN-0303@0.1702,0.3569,0.4254,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.261,"urn:cite:hmt:vaimg.VA131RN-0303@0.1702,0.3742,0.4464,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.262,"urn:cite:hmt:vaimg.VA131RN-0303@0.1692,0.3959,0.4094,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.263,"urn:cite:hmt:vaimg.VA131RN-0303@0.1702,0.414,0.4234,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.264,"urn:cite:hmt:vaimg.VA131RN-0303@0.1662,0.4335,0.4334,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.265,"urn:cite:hmt:vaimg.VA131RN-0303@0.1662,0.4508,0.4414,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.266,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.4718,0.4535,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.267,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.4869,0.4575,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.268,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.5056,0.4575,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.269,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.5229,0.4054,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.270,"urn:cite:hmt:vaimg.VA131RN-0303@0.1702,0.5432,0.4264,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.271,"urn:cite:hmt:vaimg.VA131RN-0303@0.1632,0.562,0.4625,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.272,"urn:cite:hmt:vaimg.VA131RN-0303@0.1632,0.5853,0.4444,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.273,"urn:cite:hmt:vaimg.VA131RN-0303@0.1662,0.6086,0.4795,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.274,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.6228,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.275,"urn:cite:hmt:vaimg.VA131RN-0303@0.1662,0.6401,0.4404,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.276,"urn:cite:hmt:vaimg.VA131RN-0303@0.1652,0.6566,0.4625,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:10.277,"urn:cite:hmt:vaimg.VA131VN-0634@0.4775,0.2299,0.4214,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.278,"urn:cite:hmt:vaimg.VA131VN-0634@0.4765,0.2479,0.4214,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.279,"urn:cite:hmt:vaimg.VA131VN-0634@0.4725,0.269,0.4054,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.280,"urn:cite:hmt:vaimg.VA131VN-0634@0.4825,0.2855,0.4164,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.281,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.3043,0.4254,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.282,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.3283,0.4254,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.283,"urn:cite:hmt:vaimg.VA131VN-0634@0.4835,0.3464,0.4254,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.284,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.3651,0.4254,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.285,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.3832,0.4254,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.286,"urn:cite:hmt:vaimg.VA131VN-0634@0.4785,0.4027,0.3824,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.287,"urn:cite:hmt:vaimg.VA131VN-0634@0.4775,0.4215,0.4364,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.288,"urn:cite:hmt:vaimg.VA131VN-0634@0.4745,0.4403,0.3964,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.289,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.4583,0.4505,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.290,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.4763,0.4204,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.291,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.4914,0.4364,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.292,"urn:cite:hmt:vaimg.VA131VN-0634@0.4825,0.5094,0.4074,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.293,"urn:cite:hmt:vaimg.VA131VN-0634@0.4845,0.5297,0.4074,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.294,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.5485,0.4384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.295,"urn:cite:hmt:vaimg.VA131VN-0634@0.4865,0.5665,0.4384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.296,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.5875,0.4064,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.297,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.6056,0.4494,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.298,"urn:cite:hmt:vaimg.VA131VN-0634@0.4825,0.6243,0.4494,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.299,"urn:cite:hmt:vaimg.VA131VN-0634@0.4815,0.6431,0.4254,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.300,"urn:cite:hmt:vaimg.VA131VN-0634@0.4795,0.6597,0.4384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.301,"urn:cite:hmt:vaimg.VA131VN-0634@0.4805,0.6814,0.4074,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.302,"urn:cite:hmt:vaimg.VA132RN-0304@0.1772,0.2179,0.4124,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.303,"urn:cite:hmt:vaimg.VA132RN-0304@0.1752,0.2434,0.4124,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.304,"urn:cite:hmt:vaimg.VA132RN-0304@0.1752,0.2585,0.3764,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.305,"urn:cite:hmt:vaimg.VA132RN-0304@0.1752,0.2787,0.3994,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.306,"urn:cite:hmt:vaimg.VA132RN-0304@0.1752,0.2983,0.3994,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.307,"urn:cite:hmt:vaimg.VA132RN-0304@0.1772,0.3178,0.3704,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.308,"urn:cite:hmt:vaimg.VA132RN-0304@0.1732,0.3328,0.4134,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:10.309,"urn:cite:hmt:vaimg.VA132RN-0304@0.1682,0.3539,0.3754,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.310,"urn:cite:hmt:vaimg.VA132RN-0304@0.1732,0.3719,0.3594,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.311,"urn:cite:hmt:vaimg.VA132RN-0304@0.1722,0.3937,0.3744,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.312,"urn:cite:hmt:vaimg.VA132RN-0304@0.1722,0.4095,0.4124,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.313,"urn:cite:hmt:vaimg.VA132RN-0304@0.1692,0.432,0.4164,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:10.314,"urn:cite:hmt:vaimg.VA132RN-0304@0.1692,0.4478,0.3764,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.315,"urn:cite:hmt:vaimg.VA132RN-0304@0.1652,0.4651,0.3704,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.316,"urn:cite:hmt:vaimg.VA132RN-0304@0.1712,0.4838,0.4094,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.317,"urn:cite:hmt:vaimg.VA132RN-0304@0.1702,0.5041,0.4094,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.318,"urn:cite:hmt:vaimg.VA132RN-0304@0.1652,0.5237,0.4094,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.319,"urn:cite:hmt:vaimg.VA132RN-0304@0.1632,0.544,0.4134,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.320,"urn:cite:hmt:vaimg.VA132RN-0304@0.1662,0.562,0.4234,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.321,"urn:cite:hmt:vaimg.VA132RN-0304@0.1652,0.5808,0.4234,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.322,"urn:cite:hmt:vaimg.VA132RN-0304@0.1652,0.5988,0.4394,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:10.323,"urn:cite:hmt:vaimg.VA132RN-0304@0.1632,0.6213,0.3964,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.324,"urn:cite:hmt:vaimg.VA132RN-0304@0.1632,0.6379,0.4264,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.325,"urn:cite:hmt:vaimg.VA132RN-0304@0.1652,0.6559,0.4354,0.0278"
