CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msAint.hmt:3.268,"Aint 5","urn:cite:hmt:vaimg.VA045RN-0046@0.10335298,0.43817427,0.04163596,0.03706777","urn:cite:hmt:msA.45r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.287,"Aint 6","urn:cite:hmt:vaimg.VA045RN-0046@0.08492999,0.67316736,0.04679440,0.06362379","urn:cite:hmt:msA.45r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.322,"Aint 1","urn:cite:hmt:vaimg.VA046RN-0047@0.09801032,0.28589212,0.04439941,0.02959889","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.327,"Aint 2","urn:cite:hmt:vaimg.VA046RN-0047@0.09690494,0.32780083,0.04513633,0.08547718","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.343,"Aint 3","urn:cite:hmt:vaimg.VA046RN-0047@0.07792926,0.52752420,0.06705969,0.08561549","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.387,"Aint 1","urn:cite:hmt:vaimg.VA046VN-0548@0.82848195,0.65615491,0.05637436,0.03637621","urn:cite:hmt:msA.46v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.394,"Aint 1","urn:cite:hmt:vaimg.VA047RN-0048@0.07148121,0.36818811,0.04789978,0.04702628","urn:cite:hmt:msA.47r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.397,"Aint 2","urn:cite:hmt:vaimg.VA047RN-0048@0.07184967,0.42821577,0.05655859,0.05255878","urn:cite:hmt:msA.47r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.403,"Aint 3","urn:cite:hmt:vaimg.VA047RN-0048@0.07037583,0.57524205,0.05342668,0.04190871","urn:cite:hmt:msA.47r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.469,"Aint 1","urn:cite:hmt:vaimg.VA048RN-0049@0.09893147,0.57773167,0.02081798,0.02074689","urn:cite:hmt:msA.48r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.478,"Aint 2","urn:cite:hmt:vaimg.VA048RN-0049@0.06521739,0.69004149,0.07313928,0.01991701","urn:cite:hmt:msA.48r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.504,"Aint 1","urn:cite:hmt:vaimg.VA048VN-0550@0.81650700,0.57579530,0.08179808,0.01659751","urn:cite:hmt:msA.48v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.754,"Aint 1","urn:cite:hmt:vaimg.VA049RN-0050@0.10335298,0.40995851,0.05195284,0.01894882","urn:cite:hmt:msA.49r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.532,"Aint 2","urn:cite:hmt:vaimg.VA049RN-0050@0.10058954,0.49626556,0.05305822,0.04121715","urn:cite:hmt:msA.49r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.545,"Aint 3","urn:cite:hmt:vaimg.VA049RN-0050@0.09690494,0.63084371,0.05619013,0.04730290","urn:cite:hmt:msA.49r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.608,"Aint 1","urn:cite:hmt:vaimg.VA050RN-0051@0.09137804,0.47109267,0.05176861,0.02932227","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.639,"Aint 1","urn:cite:hmt:vaimg.VA050VN-0552@0.87251290,0.39294606,0.03224024,0.05145228","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.46,"Ail 1","urn:cite:hmt:vaimg.VA042RN-0043@0.14369934,0.63056708,0.15585851,0.01410788","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.680,"Ail 1","urn:cite:hmt:vaimg.VA042VN-0544@0.61366986,0.66334716,0.08585114,0.03291840","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.681,"Ail 1","urn:cite:hmt:vaimg.VA043RN-0044@0.46075903,0.30871369,0.09727340,0.01991701","urn:cite:hmt:msA.43r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.688,"Ail 1","urn:cite:hmt:vaimg.VA043VN-0545@0.54439941,0.27372061,0.11643331,0.02351314","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.689,"Ail 2","urn:cite:hmt:vaimg.VA043VN-0545@0.57203390,0.29225450,0.12196021,0.02268326","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.690,"Ail 3","urn:cite:hmt:vaimg.VA043VN-0545@0.49834193,0.34979253,0.09837878,0.02406639","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.695,"Ail 1","urn:cite:hmt:vaimg.VA044RN-0045@0.21149595,0.30414938,0.10464259,0.02406639","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.696,"Ail 2","urn:cite:hmt:vaimg.VA044RN-0045@0.41046426,0.30885201,0.09322034,0.02074689","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.697,"Ail 3","urn:cite:hmt:vaimg.VA044RN-0045@0.20854827,0.32295989,0.09801032,0.02434302","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.698,"Ail 4","urn:cite:hmt:vaimg.VA044RN-0045@0.44399410,0.32572614,0.06742815,0.02185339","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.699,"Ail 5","urn:cite:hmt:vaimg.VA044RN-0045@0.52063375,0.32185339,0.02321297,0.02461964","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.700,"Ail 6","urn:cite:hmt:vaimg.VA044RN-0045@0.30287399,0.42365145,0.06226971,0.02351314","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.701,"Ail 7","urn:cite:hmt:vaimg.VA044RN-0045@0.22955048,0.59211618,0.06595431,0.02544952","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.702,"Ail 8","urn:cite:hmt:vaimg.VA044RN-0045@0.41672808,0.61092669,0.07553427,0.02295989","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.703,"Ail 9","urn:cite:hmt:vaimg.VA044RN-0045@0.45836404,0.66680498,0.06153279,0.02268326","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.704,"Ail 1","urn:cite:hmt:vaimg.VA044VN-0546@0.67943994,0.27800830,0.10058954,0.02226833","urn:cite:hmt:msA.44v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.714,"Ail 1","urn:cite:hmt:vaimg.VA045VN-0547@0.76252763,0.22558783,0.07958732,0.02683264","urn:cite:hmt:msA.45v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.715,"Ail 2","urn:cite:hmt:vaimg.VA045VN-0547@0.65899042,0.32005533,0.09801032,0.02378976","urn:cite:hmt:msA.45v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.716,"Ail 3","urn:cite:hmt:vaimg.VA045VN-0547@0.62914517,0.34052559,0.12896094,0.02434302","urn:cite:hmt:msA.45v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.717,"Ail 4","urn:cite:hmt:vaimg.VA045VN-0547@0.62159175,0.47565698,0.08806190,0.02116183","urn:cite:hmt:msA.45v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.721,"Ail 1","urn:cite:hmt:vaimg.VA046RN-0047@0.32885041,0.43471646,0.10906411,0.02213001","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.722,"Ail 2","urn:cite:hmt:vaimg.VA046RN-0047@0.30361091,0.50553250,0.06300663,0.02793914","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.723,"Ail 3","urn:cite:hmt:vaimg.VA046RN-0047@0.25957996,0.56528354,0.11330140,0.02420470","urn:cite:hmt:msA.46r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.737,"Ail 1","urn:cite:hmt:vaimg.VA047VN-0549@0.66634504,0.57329085,0.11076804,0.02723059","urn:cite:hmt:msA.47v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.744,"Ail 1","urn:cite:hmt:vaimg.VA048RN-0049@0.18717760,0.52987552,0.08879882,0.02489627","urn:cite:hmt:msA.48r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.759,"Ail 1","urn:cite:hmt:vaimg.VA049RN-0050@0.31355932,0.51396957,0.08585114,0.02959889","urn:cite:hmt:msA.49r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.760,"Ail 2","urn:cite:hmt:vaimg.VA049RN-0050@0.28426676,0.61092669,0.11090641,0.02240664","urn:cite:hmt:msA.49r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.761,"Ail 3","urn:cite:hmt:vaimg.VA049RN-0050@0.15493736,0.67814661,0.05969049,0.02323651","urn:cite:hmt:msA.49r"
