TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.116,"urn:cite:hmt:vaimg.VA103RN-0275@0.1972,0.2231,0.4224,0.0406"
urn:cts:greekLit:tlg0012.tlg001.msA:8.117,"urn:cite:hmt:vaimg.VA103RN-0275@0.1972,0.2502,0.4414,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.118,"urn:cite:hmt:vaimg.VA103RN-0275@0.1952,0.2675,0.4034,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.119,"urn:cite:hmt:vaimg.VA103RN-0275@0.1962,0.2863,0.4454,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.120,"urn:cite:hmt:vaimg.VA103RN-0275@0.1972,0.308,0.3303,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.121,"urn:cite:hmt:vaimg.VA103RN-0275@0.1952,0.3246,0.4054,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:8.122,"urn:cite:hmt:vaimg.VA103RN-0275@0.1982,0.3441,0.3734,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.123,"urn:cite:hmt:vaimg.VA103RN-0275@0.1922,0.3644,0.4104,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.124,"urn:cite:hmt:vaimg.VA103RN-0275@0.1822,0.3824,0.4404,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.125,"urn:cite:hmt:vaimg.VA103RN-0275@0.1782,0.4035,0.4214,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.126,"urn:cite:hmt:vaimg.VA103RN-0275@0.1942,0.4222,0.4214,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.127,"urn:cite:hmt:vaimg.VA103RN-0275@0.1922,0.4388,0.3814,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.128,"urn:cite:hmt:vaimg.VA103RN-0275@0.1772,0.4613,0.4394,0.0308"
