Sequence	Passage	Sign
322	urn:cts:greekLit:tlg0012.tlg001.msA:2.724	⸖
323	urn:cts:greekLit:tlg0012.tlg001.msA:2.725	⸖
324	urn:cts:greekLit:tlg0012.tlg001.msA:2.727	⸖
325	urn:cts:greekLit:tlg0012.tlg001.msA:2.730	>
326	urn:cts:greekLit:tlg0012.tlg001.msA:2.741	>
327	urn:cts:greekLit:tlg0012.tlg001.msA:2.742	>
328	urn:cts:greekLit:tlg0012.tlg001.msA:2.745	>
329	urn:cts:greekLit:tlg0012.tlg001.msA:2.763	>
330	urn:cts:greekLit:tlg0012.tlg001.msA:2.767	>
331	urn:cts:greekLit:tlg0012.tlg001.msA:2.791	—
332	urn:cts:greekLit:tlg0012.tlg001.msA:2.792	—
333	urn:cts:greekLit:tlg0012.tlg001.msA:2.793	—
334	urn:cts:greekLit:tlg0012.tlg001.msA:2.794	—
335	urn:cts:greekLit:tlg0012.tlg001.msA:2.795	—
336	urn:cts:greekLit:tlg0012.tlg001.msA:2.801	>
337	urn:cts:greekLit:tlg0012.tlg001.msA:2.802	>
338	urn:cts:greekLit:tlg0012.tlg001.msA:2.807	>
339	urn:cts:greekLit:tlg0012.tlg001.msA:2.809	>
340	urn:cts:greekLit:tlg0012.tlg001.msA:2.819	>
341	urn:cts:greekLit:tlg0012.tlg001.msA:2.820	>
342	urn:cts:greekLit:tlg0012.tlg001.msA:2.827	>
343	urn:cts:greekLit:tlg0012.tlg001.msA:2.837	>
344	urn:cts:greekLit:tlg0012.tlg001.msA:2.838	>
345	urn:cts:greekLit:tlg0012.tlg001.msA:2.839	⸖
346	urn:cts:greekLit:tlg0012.tlg001.msA:2.850	>
347	urn:cts:greekLit:tlg0012.tlg001.msA:2.851	>
348	urn:cts:greekLit:tlg0012.tlg001.msA:2.852	⸖
349	urn:cts:greekLit:tlg0012.tlg001.msA:2.856	>
350	urn:cts:greekLit:tlg0012.tlg001.msA:2.860	—
351	urn:cts:greekLit:tlg0012.tlg001.msA:2.861	—
352	urn:cts:greekLit:tlg0012.tlg001.msA:2.863	>
353	urn:cts:greekLit:tlg0012.tlg001.msA:2.867	>
354	urn:cts:greekLit:tlg0012.tlg001.msA:2.871	>
355	urn:cts:greekLit:tlg0012.tlg001.msA:2.872	>
356	urn:cts:greekLit:tlg0012.tlg001.msA:2.874	—
357	urn:cts:greekLit:tlg0012.tlg001.msA:2.875	—
358	urn:cts:greekLit:tlg0012.tlg001.msA:3.3	>
359	urn:cts:greekLit:tlg0012.tlg001.msA:3.4	>
360	urn:cts:greekLit:tlg0012.tlg001.msA:3.5	>
361	urn:cts:greekLit:tlg0012.tlg001.msA:3.6	>
362	urn:cts:greekLit:tlg0012.tlg001.msA:3.10	>
363	urn:cts:greekLit:tlg0012.tlg001.msA:3.11	>
364	urn:cts:greekLit:tlg0012.tlg001.msA:3.13	>
365	urn:cts:greekLit:tlg0012.tlg001.msA:3.18	⸖
366	urn:cts:greekLit:tlg0012.tlg001.msA:3.19	—
367	urn:cts:greekLit:tlg0012.tlg001.msA:3.20	—
368	urn:cts:greekLit:tlg0012.tlg001.msA:3.25	>
369	urn:cts:greekLit:tlg0012.tlg001.msA:3.28	⸖
370	urn:cts:greekLit:tlg0012.tlg001.msA:3.31	>
371	urn:cts:greekLit:tlg0012.tlg001.msA:3.36	>
372	urn:cts:greekLit:tlg0012.tlg001.msA:3.44	>
373	urn:cts:greekLit:tlg0012.tlg001.msA:3.48	>
374	urn:cts:greekLit:tlg0012.tlg001.msA:3.49	>
375	urn:cts:greekLit:tlg0012.tlg001.msA:3.54	>
376	urn:cts:greekLit:tlg0012.tlg001.msA:3.56	⸖
377	urn:cts:greekLit:tlg0012.tlg001.msA:3.65	>
378	urn:cts:greekLit:tlg0012.tlg001.msA:3.71	⸖
379	urn:cts:greekLit:tlg0012.tlg001.msA:3.74	⸖
380	urn:cts:greekLit:tlg0012.tlg001.msA:3.80	>
381	urn:cts:greekLit:tlg0012.tlg001.msA:3.82	>
382	urn:cts:greekLit:tlg0012.tlg001.msA:3.83	>
383	urn:cts:greekLit:tlg0012.tlg001.msA:3.92	⸖
384	urn:cts:greekLit:tlg0012.tlg001.msA:3.99	⸖
385	urn:cts:greekLit:tlg0012.tlg001.msA:3.100	⸖
386	urn:cts:greekLit:tlg0012.tlg001.msA:3.103	>
387	urn:cts:greekLit:tlg0012.tlg001.msA:3.104	>
388	urn:cts:greekLit:tlg0012.tlg001.msA:3.105	>
389	urn:cts:greekLit:tlg0012.tlg001.msA:3.108	—
390	urn:cts:greekLit:tlg0012.tlg001.msA:3.109	—
391	urn:cts:greekLit:tlg0012.tlg001.msA:3.110	—
392	urn:cts:greekLit:tlg0012.tlg001.msA:3.122	>
393	urn:cts:greekLit:tlg0012.tlg001.msA:3.126	>
394	urn:cts:greekLit:tlg0012.tlg001.msA:3.138	>
395	urn:cts:greekLit:tlg0012.tlg001.msA:3.144	—
396	urn:cts:greekLit:tlg0012.tlg001.msA:3.144	>
397	urn:cts:greekLit:tlg0012.tlg001.msA:3.152	⸖
398	urn:cts:greekLit:tlg0012.tlg001.msA:3.155	⸖
399	urn:cts:greekLit:tlg0012.tlg001.msA:3.163	>
400	urn:cts:greekLit:tlg0012.tlg001.msA:3.184	>
401	urn:cts:greekLit:tlg0012.tlg001.msA:3.205	>
402	urn:cts:greekLit:tlg0012.tlg001.msA:3.206	>
403	urn:cts:greekLit:tlg0012.tlg001.msA:3.207	>
404	urn:cts:greekLit:tlg0012.tlg001.msA:3.211	⸖
405	urn:cts:greekLit:tlg0012.tlg001.msA:3.219	>
406	urn:cts:greekLit:tlg0012.tlg001.msA:3.224	>
407	urn:cts:greekLit:tlg0012.tlg001.msA:3.230	>
408	urn:cts:greekLit:tlg0012.tlg001.msA:3.244	⸖
409	urn:cts:greekLit:tlg0012.tlg001.msA:3.250	⸖
410	urn:cts:greekLit:tlg0012.tlg001.msA:3.257	※
411	urn:cts:greekLit:tlg0012.tlg001.msA:3.261	>
412	urn:cts:greekLit:tlg0012.tlg001.msA:3.263	>
413	urn:cts:greekLit:tlg0012.tlg001.msA:3.270	>
414	urn:cts:greekLit:tlg0012.tlg001.msA:3.271	>
415	urn:cts:greekLit:tlg0012.tlg001.msA:3.273	⸖
416	urn:cts:greekLit:tlg0012.tlg001.msA:3.276	>
