Passage	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:2.93	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.106	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.107	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.108	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.109	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.110	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.111	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.115	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	203B+2E16
urn:cts:greekLit:tlg0012.tlg001.msA:2.119	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.122	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.124	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.125	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.130	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.131	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.132	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.133	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.143	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.144	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.148	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.160	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.160	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.161	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.161	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.161	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.162	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.162	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.164	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.164	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.167	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.176	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.177	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.178	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.180	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.184	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.186	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.187	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.188	
urn:cts:greekLit:tlg0012.tlg001.msA:2.189	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.192	
