OccurrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.94.v1	94	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.95.v1	95	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.96.v1	96	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.97.v1	97	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.98.v1	98	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.380
urn:cite:hmt:venAsign.99.v1	99	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.381
urn:cite:hmt:venAsign.100.v1	100	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.382
urn:cite:hmt:venAsign.101.v1	101	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.383
urn:cite:hmt:venAsign.102.v1	102	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.384
urn:cite:hmt:venAsign.103.v1	103	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.385
urn:cite:hmt:venAsign.104.v1	104	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.386
urn:cite:hmt:venAsign.105.v1	105	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.387
urn:cite:hmt:venAsign.106.v1	106	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.388
urn:cite:hmt:venAsign.107.v1	107	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.389
urn:cite:hmt:venAsign.108.v1	108	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.390
urn:cite:hmt:venAsign.109.v1	109	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.391
urn:cite:hmt:venAsign.110.v1	110	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.392
