folio	rv	sequence	label
urn:cite:hmt:comp.va301v	verso	622	Venetus A Folio 301 verso
urn:cite:hmt:comp.va302r	recto	623	Venetus A Folio 302 recto
urn:cite:hmt:comp.va302v	verso	624	Venetus A Folio 302 verso
urn:cite:hmt:comp.va303r	recto	625	Venetus A Folio 303 recto
urn:cite:hmt:comp.va303v	verso	626	Venetus A Folio 303 verso
urn:cite:hmt:comp.va304r	recto	627	Venetus A Folio 304 recto
urn:cite:hmt:comp.va304v	verso	628	Venetus A Folio 304 verso
urn:cite:hmt:comp.va305r	recto	629	Venetus A Folio 305 recto
urn:cite:hmt:comp.va305v	verso	630	Venetus A Folio 305 verso
urn:cite:hmt:comp.va306r	recto	631	Venetus A Folio 306 recto
urn:cite:hmt:comp.va306v	verso	632	Venetus A Folio 306 verso
urn:cite:hmt:comp.va307r	recto	633	Venetus A Folio 307 recto
urn:cite:hmt:comp.va307v	verso	634	Venetus A Folio 307 verso
urn:cite:hmt:comp.va308r	recto	635	Venetus A Folio 308 recto
urn:cite:hmt:comp.va308v	verso	636	Venetus A Folio 308 verso
urn:cite:hmt:comp.va309r	recto	637	Venetus A Folio 309 recto
urn:cite:hmt:comp.va309v	verso	638	Venetus A Folio 309 verso
urn:cite:hmt:comp.va310r	recto	639	Venetus A Folio 310 recto
urn:cite:hmt:comp.va310v	verso	640	Venetus A Folio 310 verso
urn:cite:hmt:comp.va311r	recto	641	Venetus A Folio 311 recto
urn:cite:hmt:comp.va311v	verso	642	Venetus A Folio 311 verso
urn:cite:hmt:comp.va312r	recto	643	Venetus A Folio 312 recto
urn:cite:hmt:comp.va312v	verso	644	Venetus A Folio 312 verso
urn:cite:hmt:comp.va313r	recto	645	Venetus A Folio 313 recto
urn:cite:hmt:comp.va313v	verso	646	Venetus A Folio 313 verso
urn:cite:hmt:comp.va314r	recto	647	Venetus A Folio 314 recto
urn:cite:hmt:comp.va314v	verso	648	Venetus A Folio 314 verso
