Siglum	Sequence	URN	RV	Label	CodexURN
msA	154	urn:cite:hmt:msA.77v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 77v	urn:cite:hmt:codex.msA
msA	155	urn:cite:hmt:msA.78r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 78r	urn:cite:hmt:codex.msA
msA	156	urn:cite:hmt:msA.78v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 78v	urn:cite:hmt:codex.msA
msA	157	urn:cite:hmt:msA.79r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 79r	urn:cite:hmt:codex.msA
msA	158	urn:cite:hmt:msA.79v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 79v	urn:cite:hmt:codex.msA
msA	159	urn:cite:hmt:msA.80r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 80r	urn:cite:hmt:codex.msA
msA	160	urn:cite:hmt:msA.80v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 80v	urn:cite:hmt:codex.msA
msA	161	urn:cite:hmt:msA.81r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 81r	urn:cite:hmt:codex.msA
msA	162	urn:cite:hmt:msA.81v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 81v	urn:cite:hmt:codex.msA
msA	163	urn:cite:hmt:msA.82r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 82r	urn:cite:hmt:codex.msA
msA	164	urn:cite:hmt:msA.82v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 82v	urn:cite:hmt:codex.msA
msA	165	urn:cite:hmt:msA.83r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 83r	urn:cite:hmt:codex.msA
msA	166	urn:cite:hmt:msA.83v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 83v	urn:cite:hmt:codex.msA
msA	167	urn:cite:hmt:msA.84r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 84r	urn:cite:hmt:codex.msA
msA	168	urn:cite:hmt:msA.84v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 84v	urn:cite:hmt:codex.msA
msA	169	urn:cite:hmt:msA.85r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 85r	urn:cite:hmt:codex.msA
msA	170	urn:cite:hmt:msA.85v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 85v	urn:cite:hmt:codex.msA
msA	171	urn:cite:hmt:msA.86r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 86r	urn:cite:hmt:codex.msA
msA	172	urn:cite:hmt:msA.86v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 86v	urn:cite:hmt:codex.msA
msA	173	urn:cite:hmt:msA.87r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 87r	urn:cite:hmt:codex.msA
